# Wordlist

# DATA
ID	ALIGNMENT	BORROWING	COGID	COGIDS	CONCEPT	DOCULECT	FORM	ID_IN_SOURCE	NOTE	TOKENS	VALUE	SAGARTID	MORPHEMES
#
103	ɨ ŋ k a		319	1	I [first person singular]	Bantawa	ɨŋka			ɨ ŋ k a	ɨŋka	0	I
271	ŋ a - - -		318	2	I [first person singular]	Daofu	ŋa	19223		ŋ a	ŋa	327	I
541	- a ʑ o -		318	2	I [first person singular]	Japhug	aʑo	5083		a ʑ o	aʑo	327	I
914	m j o		320	4	I [first person singular]	Tangut	mjo	38041		m j o	mjo	105	I
915	ŋ ²/a - - -		318	2	I [first person singular]	Tangut	ŋa²	5087		ŋ ²/a	ŋa²	327	I
1244	ŋ ô/o - - -		318	2	I [first person singular]	WobziKhroskyabs	ŋô	31651		ŋ ô/o	ŋô	327	I
1539	ŋ ¹³/a - - -		318	2	I [first person singular]	Zhaba	ŋa¹³	21719		ŋ ¹³/a	ŋa¹³	327	I
1807	ŋ ɑ - - -		318	2	I [first person singular]	MaerkangrGyalrong	ŋɑ	17972		ŋ ɑ	ŋɑ	327	I
2052	ŋ ⁵³/ə - - -		318	2	I [first person singular]	MuyaKangding	ŋə⁵³	22957		ŋ ⁵³/ə	ŋə⁵³	0	I
2423	ŋ ¹/ə - - -		318	2	I [first person singular]	MenyaGao	1ŋə			ŋ ¹/ə	1ŋə	0	I
2624	ŋ ā/a - - -		318	2	I [first person singular]	OldBurmese	ṅā	31082		ŋ ā/a	ṅā	327	I
2863	ŋ ¹³/a - - -		318	2	I [first person singular]	QueyuXinlong	ŋa¹³	20553		ŋ ¹³/a	ŋa¹³	0	I
2864	ŋ ¹³/ɯ - - -		318	2	I [first person singular]	QueyuXinlong	ŋɯ¹³	16111		ŋ ¹³/ɯ	ŋɯ¹³	0	I
3290	ŋ ə̌/ə - - -		318	2	I [first person singular]	QueyuPubarong	ŋə̌			ŋ ə̌/ə	ŋə̌	0	I
3388	ŋ æ̂/æ - - -		318	2	I [first person singular]	SiyuewuKhroskyabs	ŋæ̂	38840		ŋ æ̂/æ	ŋæ̂	0	I
3744	ŋ ā/a - - -		318	2	I [first person singular]	BragbarSitu	ŋā			ŋ ā/a	ŋā	0	I
4137	ŋ a - - -		318	2	I [first person singular]	Geshiza	ŋa			ŋ a	ŋa	0	I
4359	ŋ ⁵³/a - - -		318	2	I [first person singular]	GuanyinqiaoKhroskyabs	ŋa⁵³			ŋ ⁵³/a	ŋa⁵³	0	I
4821	ŋ ⁵⁵/ə - - -		318	2	I [first person singular]	NjorogsKhroskyabs	ŋə⁵⁵			ŋ ⁵⁵/ə	ŋə⁵⁵	0	I
4822	ŋ ⁵⁵/o - - -		318	2	I [first person singular]	NjorogsKhroskyabs	ŋo⁵⁵			ŋ ⁵⁵/o	ŋo⁵⁵	0	I
5003	ɐ - ɟ i ʔ		318	2	I [first person singular]	Tshobdun	ɐɟiʔ			ɐ ɟ i ʔ	ɐɟiʔ	0	I
5429	ŋ ɐ́/ɐ ʔ - -		318	2	I [first person singular]	NgyaltsuZbu	ŋɐ́ʔ			ŋ ɐ́/ɐ ʔ	ŋɐ́ʔ	0	I
5726	ŋ ⁵⁵/o - - -		318	2	I [first person singular]	Zlarong	ŋo55			ŋ ⁵⁵/o	ŋo55	0	I
5881	ŋ a - - -		318	2	I [first person singular]	KyomkyoSitu	ŋa			ŋ a	ŋa	0	I
6540	ŋ æ - - -		318	2	I [first person singular]	MazurStau	ŋæ			ŋ æ	ŋæ		I
#
33	cʰ o ŋ		16	26	above	Bantawa	cʰoN			cʰ o ŋ	cʰoN	0	ABOVE
272	r ə + n kʰ v ɛ		6	28 29	above	Daofu	rə nkhvɛ	19109		r ə + n kʰ v ɛ	rə nkhvɛ	1310	_above ABOVE
542	- ɯ + t a ʁ		1	45 33	above	Japhug	ɯ-taʁ	48		ɯ + t a ʁ	ɯ-taʁ	49	_above ABOVE
916	tɕʰ j aː		7	30	above	Tangut	tɕhjaa	38141		tɕʰ j aː	tɕhjaa	10178	ABOVE
1245	tʰ ɑ -		1	33	above	WobziKhroskyabs	tʰɑ	31552		tʰ ɑ	tʰɑ	49	ABOVE
1540	- ¹³/ʌ + tʂʰ ³³/ɿ		2	45 7899	above	Zhaba	ʌ¹³tʂhɿ³³	21603		¹³/ʌ + tʂʰ ³³/ɿ	ʌ¹³tʂhɿ³³	2262	ABOVE _above
1808	w u + p r ɐ i		2	45 36	above	MaerkangrGyalrong	wu prɐi	21766		w u + p r ɐ i	wu prɐi	2290	ABOVE _above
2053	j ³³/ɐ̃ - tɕʰ - ⁵³/ø		3	38	above	MuyaKangding	jɐ̃³³tɕhø⁵³	22825		j ³³/ɐ̃ tɕʰ ⁵³/ø	jɐ̃³³tɕhø⁵³	0	ABOVE
2054	t ³³/ə + t ²⁴/o -		1	7922 33	above	MuyaKangding	tə³³to²⁴	22826		t ³³/ə + t ²⁴/o	tə³³to²⁴	0	_above ABOVE
2432	p ¹/u		12	37	above	MenyaGao	1pu			p ¹/u	1pu	0	ABOVE
2625	ʔ a + tʰ a k		1	41 33	above	OldBurmese	ʔa◦thak	31055		ʔ a + tʰ a k	ʔa◦thak	49	_above ABOVE
2865	j ¹³/e n tɕʰ - ⁵⁵/ə		3	38	above	QueyuXinlong	je¹³ntɕhə⁵⁵	20420		j ¹³/e n tɕʰ ⁵⁵/ə	je¹³ntɕhə⁵⁵	0	ABOVE
3145	- kʰ - ō/o		6	29	above	QueyuPubarong	kʰō			kʰ ō/o	kʰō	0	ABOVE
3389	tʰ ɑ -		1	33	above	SiyuewuKhroskyabs	tʰɑ	38797		tʰ ɑ	tʰɑ	0	ABOVE
3704	r k i ɛ̂/ɛ		5	27	above	BragbarSitu	rkiɛ̂			r k i ɛ̂/ɛ	rkiɛ̂	0	ABOVE
3705	t a - + t ō/o -		1	31 33	above	BragbarSitu	ta-tō			t a + t ō/o	ta-tō	0	_above ABOVE
3706	- a + t i ɛ̄/ɛ		1	45 33	above	BragbarSitu	a-tiɛ̄			a + t i ɛ̄/ɛ	a-tiɛ̄	0	_above ABOVE
4230	tɕʰ - a		7	30	above	Geshiza	tɕʰa			tɕʰ a	tɕʰa	0	ABOVE
4313	tʰ ⁵³/a -		1	33	above	GuanyinqiaoKhroskyabs	tʰa⁵³			tʰ ⁵³/a	tʰa⁵³	0	ABOVE
4316	r ⁵⁵/u - + tʰ ³³/a -		1	53 33	above	GuanyinqiaoKhroskyabs	ru⁵⁵tʰa³³			r ⁵⁵/u + tʰ ³³/a	ru⁵⁵tʰa³³	0	_above ABOVE
4712	- ³³/ə + r u ⁵⁵/s		2	45 53	above	NjorogsKhroskyabs	ə³³rus⁵⁵			³³/ə + r u ⁵⁵/s	ə³³rus⁵⁵	0	ABOVE _above
4713	- ³³/ə + tʰ ⁵³/a -		1	45 33	above	NjorogsKhroskyabs	ə³³tʰa⁵³			³³/ə + tʰ ⁵³/a	ə³³tʰa⁵³	0	_above ABOVE
5196	ʃ ə́/ə + t a -		1	7706 33	above	Tshobdun	ʃə́ta			ʃ ə́/ə + t a	ʃə́ta	0	_above ABOVE
5506	v ə + t ɐ̂/ɐ ʁ		1	45 33	above	NgyaltsuZbu	və-tɐ̂ʁ			v ə + t ɐ̂/ɐ ʁ	və-tɐ̂ʁ	0	_above ABOVE
5831	w ⁵⁵/ɔ + t ⁵⁵/i -		1	7705 33	above	Zlarong	wɔ55ti55			w ⁵⁵/ɔ + t ⁵⁵/i	wɔ55ti55	0	_above ABOVE
5844	t ə + r k - a		5	31 27	above	KyomkyoSitu	tərka			t ə + r k a	tərka	0	_above ABOVE
6508	- - - tɕʰ j æ		3	38	above	MazurStau	tɕʰjæ			tɕʰ j æ	tɕʰjæ		ABOVE
#
105	j a m m æ y		25	66	all	Bantawa	jamm@y			j a m m æ y	jamm@y	0	ALL
273	- tʰ ə m - - - - tɕ ɛ -	tib	3682	72 69	all	Daofu	thəm tɕɛ	19256	!cognates	tʰ ə m tɕ ɛ	thəm tɕɛ	3682	
543	- tʰ a m - - - - tɕ ɤ t	tib	18	72	all	Japhug	tʰamtɕɤt	101		tʰ a m tɕ ɤ t	tʰamtɕɤt	3682	ALL
544	l o n b a	tib	35	87	all	Japhug	lonba	25848		l o n b a	lonba	1275	ALL
918	z j ¹/i		29	77	all	Tangut	zji¹	105		z j ¹/i	zji¹	0	ALL
919	r j u r		38	94	all	Tangut	rjur	38196		r j u r	rjur	0	ALL
1246	p â/a -		19	76	all	WobziKhroskyabs	pâ	31553		p â/a	pâ	5037	ALL
1541	j ³³/o d z ⁵⁵/o		33	84	all	Zhaba	jo³³dzo⁵⁵	21749		j ³³/o d z ⁵⁵/o	jo³³dzo⁵⁵	4514	ALL
1809	k ə + - tʃ ɛ - - - - - t - -	tib?	18	73 72	all	MaerkangrGyalrong	kə tʃᴇt	17994		k ə + tʃ ɛ t	kə tʃᴇt	3969	_all ALL
2055	m ³³/e - m ⁵⁵/e		20	74	all	MuyaKangding	me³³me⁵⁵	21476		m ³³/e m ⁵⁵/e	me³³me⁵⁵	0	ALL
2553	m e - m ²/e		20	74	all	MenyaGao	2meme			m e m ²/e	2meme	0	ALL
2626	ʔ - a + k u n		30	7784 78	all	OldBurmese	ʔa◦kun	31056		ʔ a + k u n	ʔa◦kun	3899	_all ALL
2866	t ⁵⁵/ə - - - ɬ y ⁵⁵/e		23	80	all	QueyuXinlong	tə⁵⁵ɬye⁵⁵	20581		t ⁵⁵/ə ɬ y ⁵⁵/e	tə⁵⁵ɬye⁵⁵	0	ALL
3270	- - tɕ j ā/a l - æ		23	80	all	QueyuPubarong	tɕjālæ			tɕ j ā/a l æ	tɕjālæ	0	ALL
3390	tsʰ ô/o ŋ m u	tib	31	81	all	SiyuewuKhroskyabs	tsʰôŋmu	38798		tsʰ ô/o ŋ m u	tsʰôŋmu	0	ALL
3391	- tʰ æ̂/æ m - - - - tɕʰ æ d	tib	18	72	all	SiyuewuKhroskyabs	tʰæ̂mtɕʰæd	38799		tʰ æ̂/æ m tɕʰ æ d	tʰæ̂mtɕʰæd	0	ALL
3392	ɕ æ r ɕ æ̂/æ r		37	93	all	SiyuewuKhroskyabs	ɕærɕæ̂r	38800		ɕ æ r ɕ æ̂/æ r	ɕærɕæ̂r	0	ALL
3393	f tɕ ɑ m ɑ̂	tib	39	96	all	SiyuewuKhroskyabs	ftɕɑmɑ̂	38801		f tɕ ɑ m ɑ̂	ftɕɑmɑ̂	0	ALL
3394	- t æ̂/æ r - -		21	91	all	SiyuewuKhroskyabs	tæ̂r	38802		t æ̂/æ r	tæ̂r	0	ALL
3395	m æ̂/æ d - -		20	74	all	SiyuewuKhroskyabs	mæ̂d	38803		m æ̂/æ d	mæ̂d	0	ALL
3396	r l æ̂/æ ʁ		40	99	all	SiyuewuKhroskyabs	rlæ̂ʁ	38804		r l æ̂/æ ʁ	rlæ̂ʁ	0	ALL
3707	k ə ʑ ē/e		22	67	all	BragbarSitu	kəʑē			k ə ʑ ē/e	kəʑē	0	ALL
3708	s t a m - - - - tɕʰ ā/a t	tib	18	72	all	BragbarSitu	stamtɕhāt			s t a m tɕʰ ā/a t	stamtɕhāt	0	ALL
4019	æ q ɛ		26	70	all	Geshiza	æqɛ			æ q ɛ	æqɛ	0	ALL
4057	g r u		34	86	all	Geshiza	gru			g r u	gru	0	ALL
4224	s t æ - - -		21	91	all	Geshiza	stæ			s t æ	stæ	0	ALL
4234	- tʰ æ m - - - - tɕ æ -	tib	18	72	all	Geshiza	tʰæmtɕæ			tʰ æ m tɕ æ	tʰæmtɕæ	0	ALL
4320	- t ³³/ɛ - t ⁵⁵/ə		21	91	all	GuanyinqiaoKhroskyabs	tɛ³³tə⁵⁵			t ³³/ɛ t ⁵⁵/ə	tɛ³³tə⁵⁵	0	ALL
4321	p ⁵³/ɑ -		19	76	all	GuanyinqiaoKhroskyabs	pɑ⁵³			p ⁵³/ɑ	pɑ⁵³	0	ALL
4322	x cçʰ ³³/ə f cçʰ ⁵³/ə		36	92	all	GuanyinqiaoKhroskyabs	xcçʰə³³fcçʰə⁵³			x cçʰ ³³/ə f cçʰ ⁵³/ə	xcçʰə³³fcçʰə⁵³	0	ALL
4675	b ⁵⁵/o q		19	76	all	NjorogsKhroskyabs	boq⁵⁵			b ⁵⁵/o q	boq⁵⁵	0	ALL
4956	v d ³³/e - v d ⁵³/e		24	89	all	NjorogsKhroskyabs	vde³³vde⁵³			v d ³³/e v d ⁵³/e	vde³³vde⁵³	0	ALL
5053	m ɐ́/ɐ l ɐ j		32	82	all	Tshobdun	mɐ́lɐj			m ɐ́/ɐ l ɐ j	mɐ́lɐj	0	ALL
5055	m d i ʔ - - -		24	89	all	Tshobdun	mdiʔ			m d i ʔ	mdiʔ	0	ALL
5220	- tʰ ɐ m - - - - tʃ e t	tib	18	72	all	Tshobdun	tʰɐmtʃet			tʰ ɐ m tʃ e t	tʰɐmtʃet	0	ALL
5442	r w o ʁ r w ó/o ʁ ʔ		28	75	all	NgyaltsuZbu	rwoʁrwóʁʔ			r w o ʁ r w ó/o ʁ ʔ	rwoʁrwóʁʔ	0	ALL
5491	- tʰ ɐ m ɐ r ɐ m tɕ é/e t +	tib?	18	72	all	NgyaltsuZbu	thɐmɐrɐmtɕét			tʰ ɐ m ɐ r ɐ m tɕ é/e t +	thɐmɐrɐmtɕét	0	ALL
5845	k ə ʒ u		22	67	all	KyomkyoSitu	kəʒu			k ə ʒ u	kəʒu	0	ALL
5846	p o k		19	76	all	KyomkyoSitu	pok			p o k	pok	0	ALL
6509			42	7930	all	MazurStau	χsəmbə			χ s ə m b ə	χsəmbə		ALL
#
6510					and	MazurStau	reɡɛ		!cognates	r e ɡ ɛ	reɡɛ		
#
102	ɨ m a + ɨ s a		50	111 112	bad	Bantawa	ɨma (ɨsa)			ɨ m a + ɨ s a	ɨma (ɨsa)	0	BAD _bad
104	ɨ s s a w a		61	126	bad	Bantawa	ɨssawa			ɨ s s a w a	ɨssawa	0	BAD
274	qʰ ə m ɛ		1271	114 115	bad	Daofu	qhə mɛ	18948	!cognates	qʰ ə m ɛ	qhə mɛ	1271	
545	ŋ ɤ n	tib	43	113	bad	Japhug	ŋɤn	313		ŋ ɤ n	ŋɤn	245	BAD
920	n i o w		58	123	bad	Tangut	niow	38078		n i o w	niow	10179	BAD
1247	m ə + tsʰ â/a		44	7782 121	bad	WobziKhroskyabs	mə-tsʰâ	31556		m ə + tsʰ â/a	mə-tsʰâ	3733	BAD _bad
1542	ʂ ʈʂ ⁵⁵/u ʈʂ ³³/u		59	124	bad	Zhaba	ʂtʂu⁵⁵tʂu³³	21824		ʂ ʈʂ ⁵⁵/u ʈʂ ³³/u	ʂtʂu⁵⁵tʂu³³	2303	BAD
1810	m ɑ + k ə + s n ɑ		44	7782 7781 116	bad	MaerkangrGyalrong	mɑ kə snɑ	18052		m ɑ + k ə + s n ɑ	mɑ kə snɑ	999	BAD _bad _bad
2056	tsʰ ⁵⁵/o β ⁵³/ə		54	118	bad	MuyaKangding	tsho⁵⁵βə⁵³	22519		tsʰ ⁵⁵/o β ⁵³/ə	tsho⁵⁵βə⁵³	0	BAD
2347	k æ̙ tɕʰ ¹/æ̙		53	117	bad	MenyaGao	1kæ̠tɕhæ̠			k æ̙ tɕʰ ¹/æ̙	1kæ̠tɕhæ̠	0	BAD
2627	cʰ u i w ɦ		55	120	bad	OldBurmese	chuiwḥ	31057		cʰ u i w ɦ	chuiwḥ	1044	BAD
2867	q ⁵⁵/a s ts u ⁵⁵/e		57	122	bad	QueyuXinlong	qa⁵⁵stsue⁵⁵	20650		q ⁵⁵/a s ts u ⁵⁵/e	qa⁵⁵stsue⁵⁵	0	BAD
3271	m æ + tɕʰ i		44	7782 7783	bad	QueyuPubarong	mæ-tɕʰi			m æ + tɕʰ i	mæ-tɕʰi	0	BAD _bad
3397	ŋ ə̂/ə n	tib	43	113	bad	SiyuewuKhroskyabs	ŋə̂n	38806		ŋ ə̂/ə n	ŋə̂n	0	BAD
3709	ŋ â/a n	tib	43	113	bad	BragbarSitu	ŋân			ŋ â/a n	ŋân	0	BAD
4160	qʰ i - -		47	114	bad	Geshiza	qʰi			qʰ i	qʰi	0	BAD
4323	ŋ ⁵³/ə n	tib	43	113	bad	GuanyinqiaoKhroskyabs	ŋən⁵³			ŋ ⁵³/ə n	ŋən⁵³	0	BAD
4761	m ³³/a + l ⁵⁵/a		44	7782 7779	bad	NjorogsKhroskyabs	ma³³la⁵⁵			m ³³/a + l ⁵⁵/a	ma³³la⁵⁵	0	BAD _bad
5100	ŋ ɐ n	tib	43	113	bad	Tshobdun	ŋɐn			ŋ ɐ n	ŋɐn	0	BAD
