# Wordlist

# DATA
ID	ALIGNMENT	BORROWING	COGID	COGIDS	CONCEPT	DOCULECT	FORM	ID_IN_SOURCE	MORPHEMES	NOTE	TOKENS	VALUE	GLOSSES
#
103	ɨ ŋ k a		321	1	I [first person singular]	Bantawa	ɨŋka				ɨ ŋ k a	ɨŋka	I
271	ŋ a - - -		320	2	I [first person singular]	Daofu	ŋa	19223			ŋ a	ŋa	I
541	- a ʑ o -		320	2	I [first person singular]	Japhug	aʑo	5083			a ʑ o	aʑo	I
914	m j o		322	4	I [first person singular]	Tangut	mjo	38041			m j o	mjo	I
915	ŋ ²/a - - -		320	2	I [first person singular]	Tangut	ŋa²	5087			ŋ ²/a	ŋa²	I
1244	ŋ ô/o - - -		320	2	I [first person singular]	WobziKhroskyabs	ŋô	31651			ŋ ô/o	ŋô	I
1539	ŋ ¹³/a - - -		320	2	I [first person singular]	Zhaba	ŋa¹³	21719			ŋ ¹³/a	ŋa¹³	I
1807	ŋ ɑ - - -		320	2	I [first person singular]	MaerkangrGyalrong	ŋɑ	17972			ŋ ɑ	ŋɑ	I
2052	ŋ ⁵³/ə - - -		320	2	I [first person singular]	MuyaKangding	ŋə⁵³	22957			ŋ ⁵³/ə	ŋə⁵³	I
2423	ŋ ¹/ə - - -		320	2	I [first person singular]	MenyaGao	1ŋə				ŋ ¹/ə	1ŋə	I
2624	ŋ ā/a - - -		320	2	I [first person singular]	OldBurmese	ṅā	31082			ŋ ā/a	ṅā	I
2863	ŋ ¹³/a - - -		320	2	I [first person singular]	QueyuXinlong	ŋa¹³	20553			ŋ ¹³/a	ŋa¹³	I
2864	ŋ ¹³/ɯ - - -		320	2	I [first person singular]	QueyuXinlong	ŋɯ¹³	16111			ŋ ¹³/ɯ	ŋɯ¹³	I
3290	ŋ ə̌/ə - - -		320	2	I [first person singular]	QueyuPubarong	ŋə̌				ŋ ə̌/ə	ŋə̌	I
3388	ŋ æ̂/æ - - -		320	2	I [first person singular]	SiyuewuKhroskyabs	ŋæ̂	38840			ŋ æ̂/æ	ŋæ̂	I
3744	ŋ ā/a - - -		320	2	I [first person singular]	BragbarSitu	ŋā				ŋ ā/a	ŋā	I
4137	ŋ a - - -		320	2	I [first person singular]	Geshiza	ŋa				ŋ a	ŋa	I
4359	ŋ ⁵³/a - - -		320	2	I [first person singular]	GuanyinqiaoKhroskyabs	ŋa⁵³				ŋ ⁵³/a	ŋa⁵³	I
