ID	CONCEPT	CHINESE	GLOSS_IN_SOURCE	VALUE	FORM	TOKENS	MORPHEME_STRUCTURE	BORROWING	SAGART_ID	NOTE	COGID
	above			tərka	tərka						
	all			kəʒu	kəʒu						
	all			pok	pok						
	and			narə	narə						
	bad			kəŋan	kəŋan						
	before			kəsce	kəsce						
	before			wakaj	wakaj						
	below, under		underside; bottom	taka	taka						
	below, under		underside; bottom	tapa	tapa						
	below, under		underside	təspoʔk	təspoʔk						
	big			kəktu	kəktu						
	black			kəneʔk	kəneʔk						
	cold (of temperature)			kəməʃtak	kəməʃtak						
	correct (right)		be able, can; right	kacha	kacha						
	dark										
	dirty			kənkəʔr	kənkəʔr						
	dry			kəraʔm	kəraʔm						
	early			tawo	tawo						
	eight			kərscat	kərscat						
	far			kəche	kəche						
	far		far; long	kəskriʔn	kəskriʔn						
	female		female; woman; girl	təmuʔ	təmuʔ						
	few			kəmniʔ	kəmniʔ						
	firewood			ʃu	ʃu						
	five			kəmŋi	kəmŋi						
	forget			kajmə	kajmə						
	four			kəbdu	kəbdu						
	full			kəməjot	kəməjot						
	good			kəbde	kəbde						
	good			kəsnaʔ	kəsnaʔ						
	green			rɟaŋkə	rɟaŋkə						
	green			wəmdoʔk	wəmdoʔk						
	hard			kərko	kərko						
	he or she [third person singular]			wuɟo	wuɟo						
	heavy			kədu	kədu						
	here			tʃe	tʃe						
	high / tall			kəmbro	kəmbro						
	horizontal			kəŋamkrak	kəŋamkrak						
	hot			kəsaʃki	kəsaʃki						
	hot			kəvastsi	kəvastsi						
	how			thisok	thisok						
	hundred			pərɟa	pərɟa						
	I [first person singular]			ŋa	ŋa						
	inside			təŋgu	təŋgu						
	knife			mbərzaʔ	mbərzaʔ						
	late			kəməŋkhuʔ	kəməŋkhuʔ						
	left			kawulaʃke	kawulaʃke						
	light (of weight)			kəɟo	kəɟo						
	long		long; far	kəskriʔn	kəskriʔn						
	male			təza	təza						
	many			kəməca	kəməca						
	many			stok	stok						
	many			wuvjot	wuvjot						
	middle			təla	təla						
	morning										
	narrow			kəcor	kəcor						
	near			tarnam	tarnam						
	new										
	nine			kəngu	kəngu						
	noon			saksə	saksə						
	not			ma	ma						
	old (of person)			kəmtɽoʔk	kəmtɽoʔk						
	one			ka	ka						
	one			kərdok	kərdok						
	one			kərek	kərek						
	one			kərgi	kərgi						
	one			kərtok	kərtok						
	one			ki	ki						
	other			kəmaʔk	kəmaʔk						
	other			raŋraŋ	raŋraŋ						
	outside			təmphi	təmphi						
	outside			təmphu	təmphu						
	outside			wəmphij	wəmphij						
	painful			kəmaŋam	kəmaŋam						
	red			kəvərni	kəvərni						
	right			kacha	kacha						
	rotten (of fruits)			kətʃuʔ	kətʃuʔ						
	round			kapəlorlor	kapəlorlor						
	salty			kətsəru	kətsəru						
	seven			kəʃnəʔs	kəʃnəʔs						
	sharp										
	short			kəcu	kəcu						
	short			kəkmen	kəkmen						
	shy			kənasrak	kənasrak						
	sick										
	six			kətɽoʔk	kətɽoʔk						
	small			kətsə	kətsə						
	smooth		easy, smooth	lam kətʃ hi	lam kətʃ hi						
	soft			kənɟam	kənɟam						
	some			kəkərgi	kəkərgi						
	some			kəkərtokrtok	kəkərtokrtok						
	stone (of fruit)										
	straight										
	ten			zɟi	zɟi						
	that			ndə	ndə						
	the ant			khoroʔk	khoroʔk						
	the armpit			taphispo	taphispo						
	the ashes										
	the back			tazgən	tazgən						
	the back			təŋkhuʔ	təŋkhuʔ						
	the bamboo										
	the bark										
	the barley (tibetan or highland)			swej	swej						
	the belly			təvok	təvok						
	the bird			patʃu	patʃu						
	the blood										
	the body hair (hair or fur)			tarɲi	tarɲi						
	the bone			ʃarə	ʃarə						
	the branch			ʃumden	ʃumden						
	the branch			tajga	tajga						
	the breast (female)			tənuʔ	tənuʔ						
	the child			cici	cici						
	the child			tapuʔ	tapuʔ						
	the child (descendant)		young; child; offspring	tapuʔ	tapuʔ						
	the child (young human)			cici	cici						
	the child (young human)			tapuʔ	tapuʔ						
	the cloud			zdeʔm	zdeʔm						
	the daughter			təmuʔpuʔ	təmuʔpuʔ						
	the day (opposed to night)										
	the dew										
	the dog			khəna	khəna						
	the dream										
	the dust										
	the ear			tərna	tərna						
	the earth (soil)			sa	sa						
	the earth (soil)			satʃ he	satʃ he						
	the earthworm			khardiliʔ	khardiliʔ						
	the egg										
	the eye			təmɲaʔk	təmɲaʔk						
	the fat (grease)		pork fat	pakŋgor	pakŋgor						
	the father			tapa	tapa						
	the feather										
	the fire			təmtʃuk	təmtʃuk						
	the fish			ɟopɟop	ɟopɟop						
	the flea			mdzajiʔk	mdzajiʔk						
	the flower			məntoʔk	məntoʔk						
	the flower			tapaʔt	tapaʔt						
	the fog										
	the foot			tamiʔ	tamiʔ						
	the forest			ʃikha	ʃikha						
	the fox			kəthwe	kəthwe						
	the frog			khaʃpa	khaʃpa						
	the front (front side)			tətɽu	tətɽu						
	the frost										
	the fruit										
	the girl			təmuʔpuʔ	təmuʔpuʔ						
	the goat			tʃhət	tʃhət						
	the grass		longleafed grass	kazaʔ	kazaʔ						
	the hail										
	the hair			tarɲi	tarɲi						
	the hair (of the head)			taworɲi	taworɲi						
	the hand			tajiʔk	tajiʔk						
	the head			tawo	tawo						
	the heart			təsi	təsi						
	the heart			təʃnəʔ	təʃnəʔ						
	the hoof			takaʔ	takaʔ						
	the horn (keratinized skin)			təruʔ	təruʔ						
	the horse			mbroʔ	mbroʔ						
	the house			təɟeʔm	təɟeʔm						
	the husband										
	the ice										
	the intestines			naŋce	naŋce						
	the knee										
	the knife			mbərzaʔ	mbərzaʔ						
	the lake										
	the leaf			təjmbak	təjmbak						
	the leg			tamiʔ	tamiʔ						
	the lightning										
	the lip (the lips)										
	the liver										
	the louse			soʔr	soʔr						
	the lung			taslo	taslo						
	the man (male human)			təza	təza						
	the meat			ɟarə	ɟarə						
	the meat			ʃa	ʃa						
	the moon			tsəla	tsəla						
	the morning										
	the mosquito										
	the mother			təmo	təmo						
	the mountain			tambat	tambat						
	the mountain			tawat	tawat						
	the mouse or rat			pəɟu	pəɟu						
	the mouth			təkha	təkha						
	the mouth			təmtʃhu	təmtʃhu						
	the mud			scokphi	scokphi						
	the mud			tapiʔ	tapiʔ						
	the mud			tatɽo	tatɽo						
	the nail (fingernail or claw)		finger nail	tajiʔkndzəru	tajiʔkndzəru						
	the name			tərɲi	tərɲi						
	the name			tərɲu	tərɲu						
	the neck			təmku	təmku						
	the needle (for sewing)			tawaʔp	tawaʔp						
	the night			təmor	təmor						
	the nit			nɟuruʔ	nɟuruʔ						
	the noon			saksə	saksə						
	the nose			təʃna	təʃna						
	the otter			srem	srem						
