ID	CONCEPT	CHINESE	GLOSS_IN_SOURCE	VALUE	FORM	TOKENS	MORPHEME_STRUCTURE	BORROWING	SAGART_ID	NOTE	COGID
31551	GLOSS			YOUR LANGUAGE HERE	YOUR LANGUAGE HERE	Y O U R _ L A N G U A G E _ H E R E			31551	NOTES	0
31651	I [first person singular]			ŋô	ŋô	ŋ ô			31651		327
31552	above			tʰɑ	tʰɑ	tʰ ɑ			31552		49
31553	all			pâ	pâ	p â			31553		5037
31556	bad			mə-tsʰâ	mə-tsʰâ	m ə + tsʰ â			31556		3733
31561	below, under			vi	vi	v i			31561		396
31562	big			qʰrɑ́	qʰrɑ́	qʰ r ɑ́			31562		3734
31565	black			ɲá	ɲá	ɲ á			31565		511
31577	cold (of temperature)			rkʰô	rkʰô	r kʰ ô			31577		1384
31579	correct (right)			vɟê	vɟê	v ɟ ê			31579		5042
31582	dark			ʁnî	ʁnî	ʁ n î			31582		1363
31587	dirty			lqʰǽl	lqʰǽl	l qʰ ǽ l			31587		1104
31591	dry			zbî	zbî	z b î			31591		1199
31594	early			nvsê	nvsê	n v s ê			31594		991
31599	eight			vjɑ́	vjɑ́	v j ɑ́			31599		183
31601	far			rɑ́ŋ	rɑ́ŋ	r ɑ́ ŋ		tib thag ring mo	31601		549
31606	firewood			sê	sê	s ê			31606		6006
31608	five			mŋɑ́	mŋɑ́	m ŋ ɑ́			31608		10357
31618	four			vdə́	vdə́	v d ə́			31618		263
31624	full			fsǽ	fsǽ	f s ǽ			31624		1357
31627	good			tsʰâ	tsʰâ	tsʰ â			31627		3751
31629	green			rŋə̂	rŋə̂	r ŋ ə̂			31629		1098
31633	hard			rɣê	rɣê	r ɣ ê			31633		341
31634	he or she [third person singular]			cə̂	cə̂	c ə̂			31634	cə̂ (proximal); ætə̂ (distal)	3121
31638	heavy			rdə̂	rdə̂	r d ə̂			31638		10379
31639	here			cə̂gə	cə̂gə	c ə̂ g ə			31639	gə 'inside'	5067
31641	high / tall			æ-brê	æ-brê	æ + b r ê			31641		896
31646	hot			skí	skí	s k í			31646		4221
