ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	MORPHEMES	COGIDS	COGID	ALIGNMENT	BORROWING	ID_IN_SOURCE	NOTE
1	Bantawa	yesterday	akʰomaŋ	akʰomaŋ	a kʰ o m a ŋ		7565	0	a kʰ o m a ŋ			
2	Bantawa	painful	akma (akta)	akma (akta)	a k m a + a k t a		1366 1367	0	a k m a + a k t a			
3	Bantawa	to lie down	anma (alu)	anma (alu)	a n m a + a l u		6300 6301	0	a n m a + a l u			
4	Bantawa	before	attʰu	attʰu	a t tʰ u		145	0	a t tʰ u			
5	Bantawa	today	ayɨ	ayɨ	a y ɨ		7255	29770	a y ɨ			
6	Bantawa	the root	b_en	b_en	b e n		8520	0	b e n			
7	Bantawa	the earth (soil)	bakʰa	bakʰa	b a kʰ a	earth	2368	0	b a kʰ a			
8	Bantawa	the mud	bakʰa	bakʰa	b a kʰ a	earth	3669	29777	b a kʰ a			
9	Bantawa	the sand	bakʰa	bakʰa	b a kʰ a	earth	4160	0	b a kʰ a			
10	Bantawa	to blow (of wind)	banma (bana)	banma (bana)	b a n m a + b a n a		5289 5290	0	b a n m a + b a n a			
11	Bantawa	to come	banma (bana)	banma (bana)	b a n m a + b a n a		5488 5489	0	b a n m a + b a n a			
12	Bantawa	left	beŋwa	beŋwa	b e ŋ w a		954	0	b e ŋ w a			
13	Bantawa	the pig	bʰak	bʰak	bʱ a k		8573	0	bʱ - a k			
14	Bantawa	the shoulder	bʰaktaŋ	bʰaktaŋ	bʱ a k + t a ŋ	 _head	4288 7983	0	- bʱ - a - k + t a ŋ			
15	Bantawa	full	bʰeplo	bʰeplo	bʱ e p l o		581	0	bʱ e p l o			
16	Bantawa	the sheep	bʰepsa	bʰepsa	bʱ e p s a		4231	0	bʱ e p s a			
17	Bantawa	the frog	bʰorop	bʰorop	bʱ o r o p		2710	0	bʱ o r o p			
18	Bantawa	to marry (a man marries a woman)	biha muma	biha muma	b i h a + m u m a		6326 6327	0	b i h a + m u m a			
19	Bantawa	to walk	bitma	bitma	b i t m a		7158	0	b i t m a			
20	Bantawa	round	bomka	bomka	b o m k a		1451	0	b o m k a			
21	Bantawa	the front (front side)	bu	bu	b u		2734	0	b u			
22	Bantawa	the belly	buk	buk	b u k		1993	10241	- - b u - - k			
23	Bantawa	outside	buŋkʰa	buŋkʰa	b u ŋ kʰ a		1338	0	b u ŋ kʰ a			
24	Bantawa	the flower	buŋwa	buŋwa	b u ŋ + w a	 _-:suffix/wa	2586 8347	0	b u ŋ - + w a			
25	Bantawa	the water	cakwa	cakwa	c a kʷ a		4832	0	c a kʷ a			
26	Bantawa	to eat	cama	cama	c a + m a	 _-:suffix/ma	5736 9	0	c a + m a			
27	Bantawa	right	camaŋwa	camaŋwa	c a m a ŋ w a		1414	0	c a m a ŋ w a			
28	Bantawa	warm (hot)	cf hot	cf hot	c f + h o t		7363 7364	0	c f + h o t			wrong entry
29	Bantawa	the child	cʰa	cʰa	cʰ a		7702	0	- - - - cʰ a			
30	Bantawa	hard	cʰakma (cʰakta)	cʰakma (cʰakta)	cʰ a k m a + cʰ a k t a		671 672	0	cʰ a k m a + cʰ a k t a			
31	Bantawa	the goat	cʰengara	cʰengara	cʰ e n g a r a		2832	0	cʰ e n g a r a			
32	Bantawa	to choose	cʰenma (cʰentu)	cʰenma (cʰentu)	cʰ e n m a + cʰ e n t u		5455 5456	0	cʰ e n m a + cʰ e n t u			
33	Bantawa	above	cʰoN	cʰoN	cʰ o ŋ		26	0	cʰ o ŋ			
