ID	CONCEPT	CHINESE	GLOSS_IN_SOURCE	VALUE	FORM	TOKENS	MORPHEME_STRUCTURE	BORROWING	SAGART_ID	NOTE	COGID
31082	I [first person singular]			ṅā	ṅā	ṅ ā			31082		327
31055	above			ʔa◦thak	ʔa◦thak	ʔ a ◦ th a k			31055		49
31056	all			ʔa◦kun	ʔa◦kun	ʔ a ◦ k u n			31056		3899
31057	bad			chuiwḥ	chuiwḥ	ch ui w ḥ			31057		1044
31058	below, under			ʔo₂k	ʔo₂k	ʔ o₂ k			31058		1260
31059	big			krīḥ	krīḥ	k r ī ḥ			31059		909
31060	black			nak	nak	n a k			31060		511
31061	cold (of temperature)			ʔeḥ	ʔeḥ	ʔ e ḥ			31061		3264
31062	correct (right)			mhan	mhan	mh a n			31062		3908
31063	dark			mho₂ṅ	mho₂ṅ	mh o₂ ṅ			31063		144
31064	dirty			ññac◦pat	ññac◦pat	ññ a c ◦ p a t			31064		1364
31065	dry			khro₂k	khro₂k	kh r o₂ k			31065		220
31066	eight			rhyat	rhyat	rh j a t			31066		183
31067	far			wiyḥ	wiyḥ	w i j ḥ			31067		1028
31068	firewood			thaṅḥ	thaṅḥ	th a ṅ ḥ			31068		3872
31069	five			ṅāḥ	ṅāḥ	ṅ ā ḥ			31069		10357
31070	four			liyḥ	liyḥ	l i j ḥ			31070		263
31071	full			plañʔ	plañʔ	p l a ñ ʔ			31071		149
31072	good			ko₂ṅḥ	ko₂ṅḥ	k o₂ ṅ ḥ			31072		1060
31073	green			cimḥ	cimḥ	c i m ḥ			31073		1080
31074	green			ññuiv	ññuiv	ññ ui v			31074		1098
31075	hard			mā	mā	m ā			31075		1216
38791	he or she [third person singular]			sū	sū	s ū			38791		1167
31076	heavy			liyḥ	liyḥ	l i j ḥ			31076		10379
31077	here			sañ◦to₁ṅ	sañ◦to₁ṅ	s a ñ ◦ t o₁ ṅ			31077		3927
31078	high / tall			mraṅʔ	mraṅʔ	m r a ṅ ʔ			31078		896
31079	horizontal			kanʔ◦lanʔ	kanʔ◦lanʔ	k a n ʔ ◦ l a n ʔ			31079		1022
31080	hot			nuyḥ	nuyḥ	n u j ḥ			31080		3684
31081	hundred			ryā	ryā	r j ā			31081		185
31083	inside			ʔa◦to₁ṅḥ	ʔa◦to₁ṅḥ	ʔ a ◦ t o₁ ṅ ḥ			31083		10574
31274	knife			dāḥ	dāḥ	d ā ḥ			31274	!Written Burmese	3873
31084	late			no₂k◦kya	no₂k◦kya	n o₂ k ◦ k j a			31084		1178
31085	left			vai	vai	v ai			31085		422
31275	light (of weight)			poʔ	poʔ	p o ʔ			31275	!Written Burmese	1056
31086	long			rhañ	rhañ	rh a ñ			31086		547
31087	many			myāḥ	myāḥ	m j ā ḥ			31087		1027
31088	middle			krāḥ	krāḥ	k r ā ḥ			31088		1200
31089	morning			naṃ◦nak	naṃ◦nak	n a ṃ ◦ n a k			31089		132
31090	narrow			kyanḥ	kyanḥ	k j a n ḥ			31090		1331
31091	near			nīḥ	nīḥ	n ī ḥ			31091		7
31092	new			sac	sac	s a c			31092		997
31093	nine			kuiwḥ	kuiwḥ	k ui w ḥ			31093		24
31094	noon			mo₁nḥ◦tañʔ	mo₁nḥ◦tañʔ	m o₁ n ḥ ◦ t a ñ ʔ			31094		3685
31095	noon			niyʔ◦lañ	niyʔ◦lañ	n i j ʔ ◦ l a ñ			31095		3686
31096	old (of person)			ʔuiw	ʔuiw	ʔ ui w			31096		1034
31097	one			tac	tac	t a c			31097		302
31098	outside			ʔa◦praṅ	ʔa◦praṅ	ʔ a ◦ p r a ṅ			31098		1258
31099	red			nī	nī	n ī			31099		1306
31100	right			yā	yā	j ā			31100		10429
31101	round			luṃḥ	luṃḥ	l u ṃ ḥ			31101		403
31102	salty			ṅan	ṅan	ṅ a n			31102		1191
31103	seven			khu◦nac	khu◦nac	kh u ◦ n a c			31103		55
31104	sharp			thak	thak	th a k			31104		375
31105	short			tuiw	tuiw	t ui w			31105		59
31106	shy			rhak	rhak	rh a k			31106		2478
31107	six			khro₂k	khro₂k	kh r o₂ k			31107		306
31108	small			ṅay	ṅay	ṅ a j			31108		524
31109	smooth			pyoʔ	pyoʔ	p j o ʔ			31109		523
31110	soft			pyoʔ	pyoʔ	p j o ʔ			31110		1087
31111	straight			phro₂ṅʔ	phro₂ṅʔ	ph r o₂ ṅ ʔ			31111		1066
31112	ten			ta◦chay	ta◦chay	t a + ch a j			31112		898
31113	that			thuiw	thuiw	th ui w			31113		2693
31114	the ant			pu◦ro₁k◦chip	pu◦ro₁k◦chip	p u + r o₁ k + ch i p			31114		2954
31115	the armpit			khyo₁ṅḥ	khyo₁ṅḥ	kh j o₁ ṅ ḥ			31115		1190
31116	the bamboo			vāḥ	vāḥ	v ā ḥ			31116		501
31117	the belly			po₂k	po₂k	p o₂ k			31117		10241
31118	the bird			ṅhak	ṅhak	ṅh a k			31118		910
31119	the blood			suyḥ	suyḥ	s u j ḥ			31119		29703
31120	the body hair (hair or fur)			muyḥ	muyḥ	m u j ḥ			31120		141
31121	the bone			ruiwḥ	ruiwḥ	r ui w ḥ			31121		2
31122	the branch			a◦khak	a◦khak	a + kh a k			31122		233
31123	the breast (female)			nuiwʔ	nuiwʔ	n ui w ʔ			31123		10186
31124	the cloud			tim	tim	t i m			31124		927
31125	the daughter			sa◦mīḥ	sa◦mīḥ	s a ◦ m ī ḥ			31125		219
31126	the dew			nhaṅḥ	nhaṅḥ	nh a ṅ ḥ			31126		1174
31127	the dog			khuyḥ	khuyḥ	kh u j ḥ			31127		2065
31128	the dream			ip◦mak	ip◦mak	i p + m a k			31128		10217
31129	the dust			phun	phun	ph u n			31129		10348
31130	the ear			nāḥ◦ro₁k	nāḥ◦ro₁k	n ā ḥ + r o₁ k			31130		32
31131	the earth (soil)			mliy	mliy	m l i j			31131		1356
31132	the egg			u	u	u			31132		1021
31133	the eye			myak	myak	m j a k			31133		4
31134	the father			a◦phiy	a◦phiy	a ◦ ph i j			31134		107
31135	the feather			a◦muyḥ	a◦muyḥ	a + m u j ḥ			31135		159
31136	the fire			mīḥ	mīḥ	m ī ḥ			31136		1746
31137	the fish			ṅāḥ	ṅāḥ	ṅ ā ḥ			31137		186
31138	the flea			lhiyḥ	lhiyḥ	lh i j ḥ			31138		944
31139	the flower			a◦po₁ṅʔ	a◦po₁ṅʔ	a + p o₁ ṅ ʔ			31139		201
31140	the fog			nhaṅḥ	nhaṅḥ	nh a ṅ ḥ			31140		3688
31141	the foot			khriy	khriy	kh r i j			31141		966
38792	the forest			sac tau	sac tau	s a c + t a u			38792		919
31142	the fox			mriy◦khuyḥ	mriy◦khuyḥ	m r i j ◦ kh u j ḥ			31142		1223
31143	the frog			phāḥ	phāḥ	ph ā ḥ			31143		145
31276	the front (front side)			rheʔ	rheʔ	rh e ʔ			31276	!Written Burmese	4213
31144	the frost			nhaṅḥ	nhaṅḥ	nh a ṅ ḥ			31144		666
31145	the fruit			sac◦sīḥ	sac◦sīḥ	s a c + s ī ḥ			31145		3525
31146	the goat			chit	chit	ch i t			31146		774
31147	the grass			mrak	mrak	m r a k			31147		1020
31148	the hail			muiwḥ◦sīḥ	muiwḥ◦sīḥ	m ui w ḥ + s ī ḥ			31148		1173
31149	the hair (of the head)			chaṃ	chaṃ	ch a ṃ			31149		385
31150	the hand			lak	lak	l a k			31150		229
31151	the head			kho₂ṅḥ	kho₂ṅḥ	kh o₂ ṅ ḥ			31151		690
31152	the heart			nha◦luṃḥ	nha◦luṃḥ	nh a ◦ l u ṃ ḥ			31152		539
31153	the hoof			khō₁	khō₁	kh ō₁			31153		1215
31154	the horn (keratinized skin)			khyuiw	khyuiw	kh j ui w			31154		312
31155	the horse			mraṅḥ	mraṅḥ	m r a ṅ ḥ			31155		3151
31156	the house			im	im	i m			31156		209
31157	the husband			laṅ	laṅ	l a ṅ			31157		1951
31158	the ice			riy◦khai	riy◦khai	r i j ◦ kh ai			31158		1284
31159	the knee			pu◦chac	pu◦chac	p u + ch a c			31159		22
31160	the knee			dūḥ	dūḥ	d ū ḥ			31160		1057
31161	the lake			kan	kan	k a n			31161		3209
31162	the leaf			ʔa◦ro₁k	ʔa◦ro₁k	ʔ a + r o₁ k			31162		881
31163	the lip (the lips)			nhut	nhut	nh u t			31163		1254
31164	the liver			ʔa◦sañḥ	ʔa◦sañḥ	ʔ a + s a ñ ḥ			31164		2076
31165	the louse			sanḥ	sanḥ	s a n ḥ			31165		807
31166	the lung			ʔa◦chut	ʔa◦chut	ʔ a + ch u t			31166		716
31167	the meat			ʔa◦sāḥ	ʔa◦sāḥ	ʔ a + s ā ḥ			31167		10227
31168	the moon			laʔ	laʔ	l a ʔ			31168		2081
31169	the mosquito			khraṅ	khraṅ	kh r a ṅ			31169		1121
31170	the mother			ʔa◦miy	ʔa◦miy	ʔ a ◦ m i j			31170		1032
31171	the mountain			to₂ṅ	to₂ṅ	t o₂ ṅ			31171		1079
31172	the mouse or rat			kro₁k	kro₁k	k r o₁ k			31172		1148
31173	the mouth			pāḥ◦cap	pāḥ◦cap	p ā ḥ ◦ c a p			31173		1033
31174	the mouth			nhut	nhut	nh u t			31174		1276
31277	the mud			rhvaṃḥ	rhvaṃḥ	rh v a ṃ ḥ			31277	!Written Burmese	1180
31175	the nail (fingernail or claw)			lak◦sañḥ	lak◦sañḥ	l a k ◦ s a ñ ḥ			31175		88
31176	the name			ʔa◦mañ	ʔa◦mañ	ʔ a ◦ mañ			31176		18
31177	the neck			lañ	lañ	l a ñ			31177		122
31178	the needle (for sewing)			ʔap	ʔap	ʔ a p			31178		10231
31179	the nose			nhā	nhā	nh ā	nose		31179		2090
31180	the otter			phyaṃ	phyaṃ	ph j a ṃ			31180		1290
31181	the pig			vak	vak	v a k			31181		2092
31182	the rain			ro₁	ro₁	r o₁			31182		10234
31183	the rainbow			sak◦taṃ	sak◦taṃ	s a k ◦ t a ṃ			31183		3411
31184	the rice plant			ko₂k	ko₂k	k o₂ k			31184	rice plant	8235
31185	the river			mlac	mlac	m l a c			31185		3165
31186	the road			lamḥ	lamḥ	l a m ḥ			31186		2206
31187	the root			mryat	mryat	m r j a t	root		31187		1074
