ID	DOCULECT	CONCEPT	VALUE	FORM	SOURCE	SAGART_ID
1	Bantawa	I [first person singular]	ɨŋka	ɨŋka	Jongens2009	33951
236	Daofu	I [first person singular]	ŋa	ŋa	Huang1992	19223
517	Japhug	I [first person singular]	aʑo	aʑo	Jacques2015b	5083
927	Tangut	I [first person singular]	mjo	mjo	Li1997	38041
928	Tangut	I [first person singular]	ŋa²	ŋa²	Li1997	5087
1305	WobziKhroskyabs	I [first person singular]	ŋô	ŋô	Lai2017	31651
1624	Zhaba	I [first person singular]	ŋa¹³	ŋa¹³	Huang1992	21719
1905	MaerkangrGyalrong	I [first person singular]	ŋɑ	ŋɑ	Huang1992	17972
2162	MuyaKangding	I [first person singular]	ŋə⁵³	ŋə⁵³	Huang1992	22957
2552	MenyaGao	I [first person singular]		1ŋə	Gao2016	
2773	OldBurmese	I [first person singular]	ṅā	ṅā		31082
3019	QueyuXinlong	I [first person singular]	ŋa¹³	ŋa¹³	Huang1992	20553
3020	QueyuXinlong	I [first person singular]	ŋɯ¹³	ŋɯ¹³	Huang1992	16111
3472	QueyuPubarong	I [first person singular]	ŋə̌	ŋə̌	GuanForthcoming	
3599	SiyuewuKhroskyabs	I [first person singular]	ŋæ̂	ŋæ̂		38840
3989	BragbarSitu	I [first person singular]	ŋā	ŋā	ZhangForthcoming	
4418	Geshiza	I [first person singular]		ŋa	Honkasalo2019	
4683	GuanyinqiaoKhroskyabs	I [first person singular]	ŋa⁵³	ŋa⁵³	Huang2007	
5187	NjorogsKhroskyabs	I [first person singular]		ŋə⁵⁵	Yin2007	
5188	NjorogsKhroskyabs	I [first person singular]		ŋo⁵⁵	Yin2007	
5385	Tshobdun	I [first person singular]	ɐɟiʔ	ɐɟiʔ	Sun2019	
5929	NgyaltsuZbu	I [first person singular]	ŋɐ́ʔ	ŋɐ́ʔ	Gong2018	
6259	Zlarong	I [first person singular]	ŋo55	ŋo55	Zhao2019	
6484	KyomkyoSitu	I [first person singular]	ŋa	ŋa	Prins2016	
2	Bantawa	above	cʰoN	cʰoN	Jongens2009	33857
237	Daofu	above	rə nkhvɛ	rə nkhvɛ	Huang1992	19109
518	Japhug	above	ɯ-taʁ	ɯ-taʁ	Jacques2015b	48
929	Tangut	above	tɕhjaa	tɕhjaa	Li1997	38141
1306	WobziKhroskyabs	above	tʰɑ	tʰɑ	Lai2017	31552
1625	Zhaba	above	ʌ¹³tʂhɿ³³	ʌ¹³tʂhɿ³³	Huang1992	21603
1906	MaerkangrGyalrong	above	wu prɐi	wu prɐi	Huang1992	21766
2163	MuyaKangding	above	jɐ̃³³tɕhø⁵³	jɐ̃³³tɕhø⁵³	Huang1992	22825
2164	MuyaKangding	above	tə³³to²⁴	tə³³to²⁴	Huang1992	22826
2563	MenyaGao	above		1pu	Gao2016	
2774	OldBurmese	above	ʔa◦thak	ʔa◦thak		31055
3021	QueyuXinlong	above	je¹³ntɕhə⁵⁵	je¹³ntɕhə⁵⁵	Huang1992	20420
3319	QueyuPubarong	above	kʰō	kʰō	GuanForthcoming	
3600	SiyuewuKhroskyabs	above	tʰɑ	tʰɑ		38797
3945	BragbarSitu	above	rkiɛ̂	rkiɛ̂	ZhangForthcoming	
3946	BragbarSitu	above	ta-tō	ta-tō	ZhangForthcoming	
3947	BragbarSitu	above	a-tiɛ̄	a-tiɛ̄	ZhangForthcoming	
4516	Geshiza	above		tɕʰa	Honkasalo2019	
4630	GuanyinqiaoKhroskyabs	above	tʰa⁵³	tʰa⁵³	Huang2007	
4631	GuanyinqiaoKhroskyabs	above	ə³³mgo⁵³	ə³³mgo⁵³	Huang2007	
4632	GuanyinqiaoKhroskyabs	above	ʁɑ⁵³χcçəl³³	ʁɑ⁵³χcçəl³³	Huang2007	
4633	GuanyinqiaoKhroskyabs	above	ru⁵⁵tʰa³³	ru⁵⁵tʰa³³	Huang2007	
