ID	CONCEPT	CHINESE	GLOSS_IN_SOURCE	VALUE	FORM	TOKENS	MORPHEME_STRUCTURE	BORROWING	SAGART_ID	NOTE	COGID
	the sand			a̯bu							
	they [third person plural]			æde=ɲə							
	all			æqɛ							
	what			ætɕʰə							
	how			ætɕhə-bɔ							
	good			a̯jær							
	the fish			a̯jə							
	the lip (the lips)			a̯mær-dʑæ							
	the mouth			a̯mo							
	dark			a̯næ							
	to fight			a̯rara							
	to walk			a̯ri							
	middle			a̯tɕil							
	the tiger			a̯ʑi							
	thin (object)			bə							
	the worm			bə-dʑi							
	today			bə-sni 							
	knife			bər-zi							
	the knife			bər-zi							
	the stick			bətʰa							
	the child			bəʑə							
	the child (young human)			bəʑə							
	the stick			bi							
	the meat			bjæno							
	high / tall			bji							
	to fly (move through air)			bjo							
	the thigh			blæ							
	the fruit			ɕʰantəu							
	the night			ɕʰua							
	the barley (tibetan or highland)			ɕi							
	old (of person)			dar							
	to burn [intransitive]		to burn, be on fire (by itself)	dor							
	to fall			dza							
	the skin			dʑælæ							
	long			dʑi							
	many			dʑo							
	to swim			dʑua							
	the fox			dʑywæ							
	morning			gædə							
	the morning			gædə							
	some			gərəu							
	the foot			gəu							
	the leg			gəu							
	the spider			grɔgrɔ							
	all			gru							
	the needle (for sewing)			ɣəu							
	the head			ɣuə							
	the hair (of the head)			ɣuə-pʰo							
	the roof			jæɣuə							
	to say			jə							
	to grow		to grow vertically (e.g. children)	jəu							
	the sheep			ji							
	the house			jo							
	round			kærkær							
	the dog			kəta							
	below, under			kʰætɕʰi							
	left			kuəla							
	the leaf			lba-la							
	heavy			ldə							
	the nail (fingernail or claw)			ldzə							
	the work			leska							
	where			ləu							
	short			lji							
	he or she [third person singular]			lmæ							
	to cry (weep)			lmæmæ							
	forget			lmə							
	the name			lmə							
	to forget			lmə							
	the hail			lmu							
	hot		to be hot (tactile sensation)	lo							
	where			lotʰo							
	to open		1. to open (e.g. the door) 2. to wear clothes with a zipper or buttons in an open fashion	lqa							
	the mosquito			ltɕɔltɕi							
	right			ltʰə							
	straight			ltʰə							
	thick			luə							
	the shoulder			lva							
	the ice			lvo							
	to freeze (intransitive)			lvo							
	the mother			mæ							
	the rain			mæ							
	the foot			mæ-							
	yesterday			mæ-gə							
	the earthworm			mæ-ŋær-bə-dʑi							
	the sky			mæ-rŋə							
	the flower			mætɔ							
	to push			mbərtsʰə							
	smooth			mbla							
	the rice plant			mbrɛ-lbə							
	the thunder			mbru							
	to bite		to bite, sting (insects)	mdær							
	noon			mdzo							
	the noon			mdzo							
	the rainbow			mdʑa							
	the eye			məu							
	shy		to feel shy (e.g. in front of prominent people of high social status)	mgre							
	not			mi							
	the smoke			mkʰə							
	the snake			mpʰri							
	the armpit			mtɕʰækʰuə-tʰəu							
	to cut		to cut into pieces	mto							
	the lake			mtsʰo							
	sharp			mtso							
	the day (opposed to night)			nælæ							
	the meat			nana							
	the mud			ndæmba							
	to stab			ndə							
	wet		to get wet	ndə							
	to lie down			ndodo							
	to lie, rest			ndodo							
	to sit			ndzo							
	to knead			nle							
	inside			noŋ							
	to hear			ntʰje							
	to choose			ntʰji							
	the meat			ntʰu							
	the dream			ntsʰæ-lma							
	to think (reflect)			ntsʰə							
	to scratch			ntsʰərvæ							
	the breast (female)			nunu							
	soft			nvə							
	to play			nwatɕə							
	the dew			nzrə							
	to lick			nʑa							
	to climb			nʑəu							
	thin			ɴqʰi							
	thin (slim)			ɴqʰi							
	black			ɲa							
	you [second person plural]			ɲə=ɲə							
	thou [second person singular]			ɲi							
	red			ɲji							
	the ear			ɲoŋ							
	I [first person singular]			ŋa							
	we [first person plural inclusive]			ŋæ=ɲə							
	the front (front side)			ŋərə							
	nine			ŋgæ							
	to eat			ŋgə							
	good		to be good, okay, acceptable	ŋi							
	to chew		to chew (soft food, e.g. bread)	ŋkaka							
	the snow			ŋkʰæ-va							
	to turn (around)			ŋkʰær							
	to vomit			ŋkʰær							
	painful			ŋo							
	sick			ŋo							
	five			ŋuæ							
	before			ŋui							
	early			ŋui							
	to spit			pʰæ							
	other			pʰe							
	the dust			pʰəslə							
	outside			pʰjə							
	white			pʰru							
	the mountain			qa							
	the horn (keratinized skin)			qæmbəla							
	to laugh			qʰæqʰæ							
	tomorrow			qʰæsʰi							
	bad			qʰi							
	the horn (keratinized skin)			qrə							
	the hoof			quæləu							
	the mountain		cliff, steep mountain	ra							
