ID	DOCULECT	GLOSS_IN_SOURCE	CONCEPT	IPA	TOKENS	ALIGNMENT	NOTE	BORROWING	CHINESE	COGID	COGIDS	HANZI	MORPHEME_STRUCTURE
48	Japhug		above	ɯ-taʁ	ɯ ◦ t a ʁ	( - - - ɯ ◦ ) t a ʁ - ( - - - - - )				49			
101	Japhug	all	all	tʰamtɕɤt	tʰ a m tɕ ɤ t	tʰ a m - - tɕ ɤ t		tib[tʰams.tɕad]	全部	3682		凡	
105	Tangut	all	all	zji¹	z j i ¹				全部	0		凡	
154	Japhug		and	cʰo	cʰ o				和	0			
207	Japhug	ash	the ashes	tʰɤfkɤlɤɣi	tʰ ɤ f k ɤ l ɤ ɣ i			tib[tʰab.ka]	灰	0		灰	
211	Tangut	ash	the ashes	lhjwạ¹	lʰ j w ạ ¹				灰	0		灰	
260	Japhug		the back	tɯ-mgɯr	t ɯ ◦ m g ɯ r				背	0			
313	Japhug		bad	ŋɤn	ŋ ɤ n	ŋ ɤ n - ( - - - - - - )		tib[ŋan]	坏	245			
366	Japhug	bark	the bark	tɤ-rqʰu	t ɤ ◦ r qʰ u				树皮	0			
419	Japhug		to be alive	sɯsu	s ɯ s u	) s ɯ s u			活的	280			
472	Japhug	belly	the belly	tɯ-xtu	t ɯ ◦ x t u	( t ɯ ◦ ) x t u			肚子	370		肚	
476	Tangut	belly	the belly	.o¹	o ¹				肚子	10241		肚	
525	Japhug		below, under	ɯ-pa	ɯ ◦ p a	( ɯ ◦ ) p a				396			
578	Japhug	big	big	wxti	w x t i	- - w x t - i - ( - - - - - )			大	29701		大	
631	Japhug	bird	the bird	pɣa	p ɣ a	p ɣ a - - -			鸟	462		鳥	
635	Tangut	bird	the bird	.we¹	w e ¹				鸟	462		鳥	
684	Japhug	bite	to bite	mtsɯɣ	m ts ɯ ɣ	) m ts ɯ ɣ			咬	2223		噬	
688	Tangut	bite	to bite	gioo¹	g i oo ¹				咬	10182		噬	
737	Japhug	black	black	ɲaʁ	ɲ a ʁ	( - - - ) - - - - - - - ( - - - - ) ɲ a ʁ - ( - - - - - - - - - - - - - - - - )			黑	511		黑	
741	Tangut	black	black	njaa¹	n j aa ¹				黑	511		黑	
790	Japhug	blood	the blood	tɤ-se	t ɤ ◦ s e	( - - - - - - - - - - - - - - - t ɤ ◦ ) s - e - - ( - - - - - )			血	29703		血	
794	Tangut	blood	the blood	sjij¹	s j i j ¹				血	29703		血	
843	Japhug		to blow (of wind)	qale βzu	q a l e  β z u	q a l e  β z u			吹	3046			
949	Japhug	bone	the bone	ɕɤrɯ	ɕ ɤ r ɯ	( - - - - - ɕ ɤ - ) - r ɯ - - - ( - ) - ( - - - - - - - - - - - - - - - - - - - - - - - )			骨头	2		骨	
953	Tangut	bone	the bone	rjɨr¹	r j ɨ r ¹				骨头	2		骨	
1002	Japhug		the branch	tɤ-rtaʁ	t ɤ ◦ r t a ʁ	t ɤ ◦ r t a ʁ				693			
