ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	MORPHEMES	COGIDS	COGID	ALIGNMENT	BORROWING	ID_IN_SOURCE	NOTE	SUBGROUP
103	Bantawa	I [first person singular]	ɨŋka	ɨŋka	ɨ ŋ k a		1	0	ɨ ŋ k a				Kiranti
271	Stau	I [first person singular]	ŋa	ŋa	ŋ a		2	327	ŋ a -		19223		rGyalrongic
541	Japhug	I [first person singular]	aʑo	aʑo	a + ʑ o		8561 8411	327	a + ʑ o -		5083		rGyalrongic
914	Tangut	I [first person singular]	mjo	mjo	m j o		4	105	m j o		38041		Tangut
915	Tangut	I [first person singular]	ŋa²	ŋa²	ŋ ²/a		2	327	ŋ ²/a -		5087		Tangut
1244	Wobzi Khroskyabs	I [first person singular]	ŋô	ŋô	ŋ ô/o		2	327	ŋ ô/o -		31651		rGyalrongic
1539	Zhaba	I [first person singular]	ŋa¹³	ŋa¹³	ŋ ¹³/a		2	327	ŋ ¹³/a -		21719		Qiangic
1807	Mbarkhams Situ	I [first person singular]	ŋɑ	ŋɑ	ŋ ɑ		2	327	ŋ ɑ -		17972		rGyalrongic
2052	Kangding Minyag	I [first person singular]	ŋə⁵³	ŋə⁵³	ŋ ⁵³/ə		2	0	ŋ ⁵³/ə -		22957		Qiangic
2423	Pengbuxi Minyag	I [first person singular]	1ŋə	1ŋə	ŋ ¹/ə		2	0	ŋ ¹/ə -				Qiangic
2624	Old Burmese	I [first person singular]	ṅā	ṅa	ŋ ā/a		2	327	ŋ ā/a -		31082		Burmish
2863	Xinlong Queyu	I [first person singular]	ŋa¹³	ŋa¹³	ŋ ¹³/a		2	0	ŋ ¹³/a -		20553		Qiangic
2864	Xinlong Queyu	I [first person singular]	ŋɯ¹³	ŋɯ¹³	ŋ ¹³/ɯ		2	0	ŋ ¹³/ɯ -		16111		Qiangic
3290	Pubarong Queyu	I [first person singular]	ŋə̌	ŋə̌	ŋ ə̌/ə		2	0	ŋ ə̌/ə -				Qiangic
3388	Siyuewu Khroskyabs	I [first person singular]	ŋæ̂	ŋæ̂	ŋ æ̂/æ		2	0	ŋ æ̂/æ -		38840		Rgyalrongic
3744	Bragbar Situ	I [first person singular]	ŋā	ŋā	ŋ ā/a		2	0	ŋ ā/a -				Rgyalrongic
4137	Geshiza	I [first person singular]	ŋa	ŋa	ŋ a		2	0	ŋ a -				Rgyalrongic
4359	Guanyinqiao Khroskyabs	I [first person singular]	ŋa⁵³	ŋa⁵³	ŋ ⁵³/a		2	0	ŋ ⁵³/a -				Rgyalrongic
4821	Njorogs Khroskyabs	I [first person singular]	ŋə⁵⁵	ŋə⁵⁵	ŋ ⁵⁵/ə		2	0	ŋ ⁵⁵/ə -				Rgyalrongic
4822	Njorogs Khroskyabs	I [first person singular]	ŋo⁵⁵	ŋo⁵⁵	ŋ ⁵⁵/o		2	0	ŋ ⁵⁵/o -				Rgyalrongic
5003	Tshobdun	I [first person singular]	ɐɟiʔ	ɐɟiʔ	ɐ + ɟ i ʔ		8561 8411	0	ɐ + ɟ i ʔ				Rgyalrongic
5429	Ngyaltsu Zbu	I [first person singular]	ŋɐ́ʔ	ŋɐ́ʔ	ŋ ɐ́/ɐ ʔ		2	0	ŋ ɐ́/ɐ ʔ				Rgyalrongic
5726	Zlarong	I [first person singular]	ŋo55	ŋo55	ŋ ⁵⁵/o		2	0	ŋ ⁵⁵/o -				Chamdoic
5881	Kyomkyo Situ	I [first person singular]	ŋa	ŋa	ŋ a		2	0	ŋ a -				Rgyalrongic
6540	Mazur Stau	I [first person singular]	ŋæ	ŋæ	ŋ æ		2	0	ŋ æ -				Rgyalrongic
7005	Yaoji Situ	I [first person singular]	ŋo⁵⁵	ŋo⁵⁵	ŋ o ⁵⁵								Rgyalrongic
7237	Cogtse Situ	I [first person singular]	ŋa	ŋa	ŋ a								Rgyalrongic
7523	Njorogs Khroskyabs	I [first person singular]	ŋo⁵⁵	ŋo⁵⁵	ŋ o ⁵⁵								Rgyalrongic
7756	mBrongrdzon Khroskyabs	I [first person singular]	ŋʌ	ŋʌ	ŋ ʌ								Rgyalrongic
8057	Bawang Horpa	I [first person singular]	ŋa	ŋa	ŋ a								Rgyalrongic
8358	Situ in Jarongyiyu	I [first person singular]	ŋo-jo	ŋo-jo	ŋ o j o								Rgyalrongic
33	Bantawa	above	cʰoN	cʰoN	cʰ o ŋ		26	0	cʰ o ŋ				Kiranti
272	Stau	above	rə nkhvɛ	rə nkhvɛ	r ə + n kʰ v ɛ		28 29	1310	r ə + n kʰ v ɛ		19109		rGyalrongic
542	Japhug	above	ɯ-taʁ	ɯ-taʁ	ɯ + t a ʁ		45 33	49	- ɯ + t - a ʁ		48		rGyalrongic
916	Tangut	above	tɕhjaa	tɕhjaa	tɕʰ j aː		30	10178	tɕʰ j aː		38141		Tangut
1245	Wobzi Khroskyabs	above	tʰɑ	tʰɑ	tʰ ɑ		8352	49	tʰ ɑ		31552		rGyalrongic
1540	Zhaba	above	ʌ¹³tʂhɿ³³	ʌ¹³tʂhɿ³³	¹³/ʌ + ʈʂʰ ³³/ɿ		45 7899	2262	- ¹³/ʌ + ʈʂʰ ³³/ɿ		21603		Qiangic
1808	Mbarkhams Situ	above	wu prɐi	wu prɐi	w u + p r ɐ i		45 36	2290	w u + p r ɐ i		21766		rGyalrongic
2053	Kangding Minyag	above	jɐ̃³³tɕhø⁵³	jɐ̃³³tɕhø⁵³	j ³³/ɐ̃ + tɕʰ ⁵³/ø		38 30	0	j ³³/ɐ̃ - + tɕʰ - ⁵³/ø		22825		Qiangic
2054	Kangding Minyag	above	tə³³to²⁴	tə³³to²⁴	t ³³/ə + t ²⁴/o		7922 33	0	t ³³/ə + t - ²⁴/o -		22826		Qiangic
2432	Pengbuxi Minyag	above	1pu	1pu	p ¹/u		37	0	p ¹/u				Qiangic
2625	Old Burmese	above	ʔa◦thak	ʔa◦thak	ʔ a + tʰ a k		41 33	49	ʔ a + tʰ - a k		31055		Burmish
2865	Xinlong Queyu	above	je¹³ntɕhə⁵⁵	je¹³ntɕhə⁵⁵	j ¹³/e n + tɕʰ ⁵⁵/ə		38 30	0	j ¹³/e n + tɕʰ - ⁵⁵/ə		20420		Qiangic
3145	Pubarong Queyu	above	kʰo	kʰo	kʰ ō/o		29	0	- kʰ - ō/o				Qiangic
3389	Siyuewu Khroskyabs	above	tʰɑ	tʰɑ	tʰ ɑ		8352	0	tʰ ɑ		38797		Rgyalrongic
3704	Bragbar Situ	above	rkiɛ̂	rkiɛ̂	r k i ɛ̂/ɛ		27	0	r k i ɛ̂/ɛ				Rgyalrongic
3705	Bragbar Situ	above	ta-tō	ta-tō	t a + t ō/o		31 33	0	t a - + t - ō/o -				Rgyalrongic
3706	Bragbar Situ	above	a-tiɛ̄	a-tiɛ̄	a + t i ɛ̄/ɛ		45 33	0	- a + t i ɛ̄/ɛ -				Rgyalrongic
