ID	CONCEPT	CHINESE	VALUE	FORM	GLOSS_IN_SOURCE	TOKENS	MORPHEME_STRUCTURE	BORROWING	SAGART_ID	NOTE	COGID
	above	上方（近指）	spe								
	all	全部	na-ʑuɦ								
	bad	坏									
	before										
	below, under	下方（近指）									
	big	大									
	black	黑	ki-nag								
	cold (of temperature)	冷	mu-ɕag-tʰag								
	correct (right)	对、正确									
	dark	暗、天黑									
	dirty	脏									
	dry	干									
	early	早	ki-ni-swo								
	eight	八	ɦu-ja								
	fallen rock (after landslide)	滚落的石头									
	far	远									
	few	少	ki-mu-ro								
	firewood	柴	ɕeŋ					Tib. ɕiŋ			
	five	五	ki-ŋo								
	four	四	ki-si-li								
	full	满									
	good	好	sna								
	good	好									
	green	绿	stɕaŋ-ku-kipa					Tib. ldʑaŋ.kʰu			
	hard	硬									
	heavy	重	ki-lig								
	here	这里									
	high / tall	高									
	horizontal	横									
	hot	热	ta-ɕes								
	how	怎样	tʰo-si-la								
	hundred	百	pe-rgʲa								
	I [first person singular]	我	ŋo-jo								
	inside	里面	go-wu								
	late	迟	ki-snas								
	late	迟	ta-po-lo								
	left	左	ka-wu								
	light (of weight)	轻	ko-jo								
	long	长									
	many	多	pʰa-res								
	middle	中间									
	middle	中间、中介	wu-la								
	morning	早晨									
	narrow	窄									
	narrow	狭窄（心胸）									
	near	近									
	new	新	ki-ɕig								
	nine	九	ki-mku								
	noon	中午									
	old (of person)	年老	ki-mu-dro-ri								
	one	一	ke-te								
	other	其他	ka-ka								
	outside	外面	ke-pʰo								
	painful	疼									
	red	红	ki-wur-ni								
	right	右	ka-kʰja								
	rotten (of fruits)	腐烂									
	round	圆（平面、立体）									
	salty	咸									
	seven	七	ki-sni								
	sharp	锋利									
	short	短									
	shy	害羞									
	sick	病									
	six	六	ki-gro								
	small	小									
	smooth	光滑									
	soft	软									
	stone (of fruit)	核儿									
	straight	直									
	ten	十	ɕe								
	that	那									
	the ant	蚂蚁									
	the armpit	腋下									
	the ashes	草木灰									
	the back	后背									
	the bamboo	竹子	gjo								
	the bark	桦树皮									
	the barley (tibetan or highland)	青稞									
	the belly	肚子	ti-bɕa-tag								
	the bird	鸟									
	the blood	血	ti-ɕos								
	the body hair (hair or fur)	毛	dar-rnʲeg								
	the bone	骨头	ɕa-ru								
	the branch	树枝	ki-kʰjar								
	the breast (female)	乳房	tu-nub								
	the child	小孩									
	the child	小孩									
	the cloud	云	sdum								
	the cooked meat	熟肉									
	the day (opposed to night)	白天	ɕi-ni								
	the day (opposed to night)	白天	pʰe-ɕi-niŋ								
	the day (opposed to night)	白天	ɕin ri ru								
	the dew	露水	smoŋ-zu								
	the dog	狗	kʰi								
	the dream	梦									
	the dust	灰尘									
	the ear	耳朵	ti-sna								
	the earth (soil)	黄土									
	the earthworm	蚯蚓									
	the egg	蛋									
	the eye	眼睛	ti-mja								
	the fat (grease)	肥膘									
	the feather	羽毛									
	the fire	火	ti-me								
	the fish	鱼	tɕuɦu-jon								
	the flea	跳蚤									
	the flower	花	mi-tog					Tib. me.tog			
	the fog	雾	ta-khu-ku-rnje								
	the foot	脚	ta-med								
	the forest	森林	nag-tɕan					Tib. nag.tɕʰen			
	the fox	狐狸	ku-tʰu-wa								
	the frog	青蛙									
	the front (front side)	前面、正面	ti-tri								
	the frost	霜	srar								
	the fruit	果实	ti-ɕi								
	the girl	姑娘									
	the goat	山羊									
	the grass	草（总称）	ka-rtsa					Tib. rtswa			
	the grass on the grassland	草原上的草									
	the hail	冰雹	dar-rmoŋ								
	the hair (of the head)	头发	ta-ko-ɕus								
	the hand	手	ta-jjag								
	the head	头	ta-koɦ								
	the heart	心脏	ti-snaŋ					Tib. snying			
	the hoof	马蹄									
	the horn (keratinized skin)	角									
	the horse	马	bʰo-rog								
	the house	房子									
	the husband	丈夫									
	the ice	冰									
	the intestines	肠									
	the knee	膝盖									
	the knife	刀	btɕan-ɦgi					Tib. 			
	the lake	湖									
	the leaf	叶子	tir-mad								
	the lightning	闪电	tu-je								
	the lip (the lips)	嘴唇	tin-mtɕʰi								
	the liver	肝	ta-bɕeŋ								
	the louse	虱子									
	the lung	肺	dur-rtsom								
	the man (male human)	男人、男性	ka-tɕa-wa					part. tib. pa			
	the meat	肉	ɕa								
	the moon	月亮	rtsi-la								
	the mosquito	蚊子									
	the mountain	山	ta-wog								
	the mountain	山的总称	ta-wog								
	the mouse or rat	老鼠	bu-ju								
	the mouth	嘴	ti-kʰa					Tib. kʰa			
	the mud	泥巴									
	the nail (fingernail or claw)	指甲	ta-jja-ɦdzo								
	the name	姓									
	the neck	脖子									
	the needle (for sewing)	针									
	the night	晚上	ti-mor								
	the nit	虮子									
	the noon	中午									
	the nose	鼻子	ti-ɕi-rna								
	the otter	水獭									
	the person	人									
	the pig	猪	pag								
	the rain	雨	dur-wa								
	the rainbow	虹	ti-mu-ɕum-ɕum-kre								
	the rice plant	水稻	kʰri								
	the river	大河	tɕʰu-btɕʰen					Tib. tɕʰu.tɕʰen			
	the river	小河	tɕʰu-bran					part. tib. tɕʰu			
	the road	路									
	the road	公路									
	the roof	房背（平顶）									
	the root	根									
	the rope	绳子	du-res								
	the salt	盐	tsʰas					Tib. tsʰwa			
	the sand	沙子	ki-mo-dbʲiŋ								
