ID	CONCEPT	CHINESE	GLOSS_IN_SOURCE	VALUE	FORM	TOKENS	MORPHEME_STRUCTURE	BORROWING	SAGART_ID	NOTE	COGID
	the pig		pig	’pa	’pa						
	the goat		goat	’tsʰet	’tsʰet						
	to rub		rub	ɐɣləɣlɐ	ɐɣləɣlɐ						
	I [first person singular]		1sg	ɐɟiʔ	ɐɟiʔ						
	to fall		fall	ɐldɛʔ	ɐldɛʔ						
	to sit		sit (stem 2)	ɐmdzuʔ	ɐmdzuʔ						
	sharp		be.sharp-pointed	ɐmtʃɔ	ɐmtʃɔ						
	straight		be.straight	ɐstoʔ	ɐstoʔ						
	before		before	cʰeʔ	cʰeʔ						
	to open		open:turn.on	cuʔ	cuʔ						
	tomorrow		tomorrow	fsə́fsi	fsə́fsi						
	to hear		hear	fsɛʔ	fsɛʔ						
	to rub		rub (stem 2)	ɣlɛʔ	ɣlɛʔ						
	the fire		fire	ɣⁿdʒov	ɣⁿdʒov						
	white		be.white	ɣrəmʔ	ɣrəmʔ						
	the hand		hand	ja	ja						
	thick		thick	ja	ja						
	high / tall		be.high	jɐnʔ	jɐnʔ			jon			
	we [first person plural inclusive]		1pl	jəɟərɐʔ	jəɟərɐʔ						
	to plant (vegetals, rice)		plant ; sow	ji kɐ́-ji	ji kɐ́-ji						
	to sow (broadcast, scatter seeds)		plant ; sow	ji kɐ́-ji	ji kɐ́-ji						
	the tail		tail	jmɐ	jmɐ						
	forget		forget (stem 2)	jmə̂t	jmə̂t						
	to forget		forget (stem 2)	jmə̂t	jmə̂t						
	the dream		dream	jmi	jmi						
	today		today	josŋiʔ	josŋiʔ						
	thick		be.thick	jpejpom	jpejpom						
	thin		be.thin	jtsʰem	jtsʰem						
	thin (slim)		be.thin	jtsʰem	jtsʰem						
	firewood		firewood	kɐ́ju	kɐ́ju						
	the wood (material)		firewood	kɐ́ju	kɐ́ju						
	near		place.nearby	kɐrnɛ	kɐrnɛ						
	the leaf		tobacco.leaf	kɐrŋíkʰu	kɐrŋíkʰu						
	other		other	kəmaʔ	kəmaʔ						
	five		five	kə́mŋo	kə́mŋo						
	nine		nine	kə́nⁿgət	kə́nⁿgət						
	one		one	kərdɔʔ	kərdɔʔ						
	six		six	kə́tʃoɣ	kə́tʃoɣ						
	the child		child	kəxtʃipu	kəxtʃipu						
	the child		child	kəxtʃipu	kəxtʃipu						
	the child (young human)		child	kəxtʃipu	kəxtʃipu						
	the child (young human)		child	kəxtʃipu	kəxtʃipu						
	the mouth		mouth	kʰɐ́	kʰɐ́			kha			
	the house		house	kʰe	kʰe						
	some		some	kʰepʰɛʔ	kʰepʰɛʔ						
	the dog		dog	kʰezeʔ	kʰezeʔ						
	here		here	kʰə́kʰo	kʰə́kʰo						
	here		here	kʰo	kʰo						
	thin (slim)		be.thin	kʰoj	kʰoj						
	the belly		belly	kʰɔ́χpe	kʰɔ́χpe						
	the hair (of the head)		hair	komeʔ	komeʔ						
	the head		head	koŋʔ	koŋʔ						
	the hair (of the head)		hair	kormɐ	kormɐ						
	he or she [third person singular]		3sg	koʔ	koʔ						
	the head		head	koʔ	koʔ						
	this		this	koʔ	koʔ						
	smooth		smooth	lɐmⁿdʐo	lɐmⁿdʐo			lam.ⁿgro			
	to shoot (an arrow)		release	lɐt	lɐt						
	to lick		lick	ldaʔ	ldaʔ			ldag			
	the child		child	lŋaʔ	lŋaʔ						
	the child		child	lŋaʔ	lŋaʔ						
	the child (young human)		child	lŋaʔ	lŋaʔ						
	the child (young human)		child	lŋaʔ	lŋaʔ						
	knife		long.knife	lʁɐ̂ t	lʁɐ̂ t						
	the knife		long.knife	lʁɐ̂ t	lʁɐ̂ t						
	to dig		dig	lweʔ	lweʔ						
	not		not.be	máʔ	máʔ						
	all		all	mɐ́lɐj	mɐ́lɐj						
	late		be.late	mɐqʰu	mɐqʰu						
	all		be.all	mdiʔ	mdiʔ						
	the flea		flea	mdzəldi	mdzəldi						
	the foot		foot	me	me						
	the night		night	mer	mer						
	the flower		flower	metɔʔ	metɔʔ			me.tog			
	to steal		steal	mərku	mərku						
	the neck		neck	mkɐ	mkɐ						
	the eye		eye	mɲa	mɲa						
	few		be.few	mɲiʔ	mɲiʔ						
	the mother		mother	mo	mo						
	to fight		fight	mqeʔ	mqeʔ						
	to see		see	mtiʔ	mtiʔ						
	the liver		liver	mtsʰi	mtsʰi						
	the lake		lake	mtsʰo	mtsʰo			mtsʰo			
	the lip (the lips)		lip	mtʃʰi	mtʃʰi						
	the daughter		daughter	mε	mε						
	inside		inside	naŋ	naŋ			naŋ			
	the forest		virgin.forest	naχtʃen	naχtʃen			nags.tɕʰen			
	thou [second person singular]		2sg	nɐɟíʔ	nɐɟíʔ						
	to chew		chew	nɐkəke	nɐkəke						
	the sky		sky	nɐmkʰe	nɐmkʰe			nam.mkha			
	to play		idle.about; play	nɐ́ʁɐ	nɐ́ʁɐ						
	to hide (conceal)		hide	nɐtsu	nɐtsu						
	round		round	ⁿbɣɛʔ	ⁿbɣɛʔ						
	to give		give	ⁿbiʔ	ⁿbiʔ						
	knife		knife	ⁿbrə́tʃu	ⁿbrə́tʃu						
	the knife		knife	ⁿbrə́tʃu	ⁿbrə́tʃu						
	the horse		horse	ⁿbri	ⁿbri						
	high / tall		be.high	ⁿbriʔ	ⁿbriʔ						
	to hold		take; hold	ⁿdi	ⁿdi						
	to eat		eat	ⁿdze	ⁿdze						
	to stand		stand	ⁿdzor <	ⁿdzor <						
	the nail (fingernail or claw)		nail	ⁿdzruʔ	ⁿdzruʔ						
	the skin		skin	ⁿdʒi	ⁿdʒi						
	to hide (conceal)		hide (stem 2)	nəɣɟɐdzuʔ	nəɣɟɐdzuʔ						
	to fear (be afraid)		fear	nə́ɣver	nə́ɣver						
	to burn [intransitive]		burn (stem 2)	nət	nət						
	the egg		egg	ⁿgəmʔ	ⁿgəmʔ						
	wide		be.wide	ⁿgɛʔ ?	ⁿgɛʔ ?						
	the bamboo		bamboo	ⁿɟwɛʔ	ⁿɟwɛʔ						
	to walk		walk	nkɐ	nkɐ						
	the husband		husband	nma	nma						
	sick		be.ill	nⁿgiʔ	nⁿgiʔ						
	hot		feel.hot	ntsʰɐdəɣʔ	ntsʰɐdəɣʔ						
	to kill		kill	ntʃʰe	ntʃʰe			ⁿtɕʰa			
	the breast (female)		breast	nuʔ	nuʔ						
	black		be.black	ɲa	ɲa						
	the river		big.river	ɲɐmgón	ɲɐmgón						
	bad		be.bad	ŋɐn	ŋɐn			ŋan			
	where		where	ŋɐ́tʃʰə	ŋɐ́tʃʰə						
	where		where	ŋɐ́tʃʰəz	ŋɐ́tʃʰəz						
	the front (front side)		front	ŋóri	ŋóri						
	the front (front side)		front	ŋúri	ŋúri						
	when		when	orjáŋnəz	orjáŋnəz						
	hundred		hundred	orɟe	orɟe						
	the roof		roof	pɐrtsɐko	pɐrtsɐko						
	the year		year	pe	pe						
	the feather		feather	pɣɐmojʔ	pɣɐmojʔ						
	the bird		bird	pɣɐpɣe	pɣɐpɣe						
	to cut		cut.open (stem 2)	pʰaʔ	pʰaʔ						
	below, under		underside	pʰi	pʰi						
	the shit		excrement	pʰje	pʰje						
	outside		outside	pʰjiʔ	pʰjiʔ						
	the belly		belly	po	po						
	the fox		fox	qɐ́cʰwet	qɐ́cʰwet						
	the earthworm		earthworm	qɐjⁿdʒeʔ	qɐjⁿdʒeʔ						
	to freeze (intransitive)		freeze (stem 2)	qɐjpəm	qɐjpəm						
	the worm		worm	qɐju	qɐju						
	the wheat		wheat	qɐjʔ	qɐjʔ						
	the tiger		tiger	qɐɟe	qɐɟe						
	the sheep		sheep	qɐɟiʔ	qɐɟiʔ						
	the fish		fish	qɐɟwɛʔ	qɐɟwɛʔ						
	the wind		wind	qɐ́lɛ	qɐ́lɛ						
	to fly (move through air)		fly	qɐlⁿbjəmʔ	qɐlⁿbjəmʔ						
	the sand		sand	qɐ́ⁿbət	qɐ́ⁿbət						
	the leaf		oak.leaf	qɐnpʰɔlvaʔ	qɐnpʰɔlvaʔ						
	dark		be.dark	qɐ́nu	qɐ́nu						
	the snake		snake	qɐprɛʔ	qɐprɛʔ						
	the dust		sawdust	qɐrɐtɣze	qɐrɐtɣze						
	yellow		be.yellow	qɐrŋɛʔ	qɐrŋɛʔ						
	to hunt		hunt	qɐrŋiʔ	qɐrŋiʔ						
	there		there	qʰɐ́nə	qʰɐ́nə						
	the heart		heart	qʰɔ́χpe	qʰɔ́χpe			sems			
	the horn (keratinized skin)		horn	qʰru	qʰru						
	the back		back	qʰu	qʰu						
	to vomit		vomit (stem 2)	qjɔ	qjɔ						
	to cut		cut.plank (stem 2)	raχʃa	raχʃa						
	to laugh		laughter	rɐ	rɐ						
	to laugh		laught (stem 2)	nɐreʔ	nɐreʔ						
	to cut		cut	rɐⁿdzɛʔ	rɐⁿdzɛʔ						
	to pull		pull	rɐ́ski	rɐ́ski						
	to pull		pull (stem 2)	rɐʃe	rɐʃe						
	shy		be.shy.of.strangers	rɐtʂi	rɐtʂi						
	the mountain		hill	reⁿgo	reⁿgo			ri.ⁿgo			
	the night		night	rɟaʔ	rɟaʔ						
	the sea		sea	rɟɐmtsʰo	rɟɐmtsʰo			rgʲa.mtsʰo			
	to sleep		sleep	rɟev	rɟev						
	the wife		wife	rɟev	rɟev						
	to run		run	rɟəɣʔ	rɟəɣʔ			rgʲug			
	heavy		heavy	rɟi	rɟi						
	to run		run	rɟuɣʔ	rɟuɣʔ			rgʲug			
	good		be.good	rkaŋ	rkaŋ						
	the hair		hair	rmɐ	rmɐ						
	the name		name 	rmiʔ	rmiʔ						
	the ear		ear	rne	rne						
	to sleep		sleep	rⁿgu	rⁿgu						
	the shoulder		shoulder	rpa	rpa						
	the neck		neck	rqe	rqe						
	dry		be.dry	rʁo kɐ́-rʁo	rʁo kɐ́-rʁo						
	the grass		grass	rtsɐke	rtsɐke			rtswa.ka			
	the root		root	rtsɐʃəɣʔ	rtsɐʃəɣʔ						
	the seed		seed	rwi	rwi						
	long		be.long	rzɛʔ	rzɛʔ						
	the wing		wing	ʁɐ́rⁿdzem	ʁɐ́rⁿdzem						
	the heart		heart	ʁjət	ʁjət						
	twenty		twenty	ʁnesqe	ʁnesqe						
	two		two	ʁnez	ʁnez						
	the front (front side)		front	ʁóri	ʁóri						
	male		man	ʁʒonu	ʁʒonu			gʑon.nu			
	the man (male human)		man	ʁʒonu	ʁʒonu			gʑon.nu			
	noon		noon:lunch	sásu	sásu						
	the noon		noon:lunch	sásu	sásu						
	to burn [transitive]		burn (stem 2)	sɐʃkeʔ	sɐʃkeʔ						
	the earth (soil)		earth	sɐtʃʰé	sɐtʃʰé			sa.tɕʰa			
	knife		long.knife	scɐpɐ	scɐpɐ						
	the knife		long.knife	scɐpɐ	scɐpɐ						
	to grow		grow (stem 2)	sceʔ	sceʔ			skʲe			
	and		and	scʰənəʔ	scʰənəʔ						
	the heart		heart	sem	sem						
	the louse		louse	ser	ser						
	to die		die	sêt	sêt						
	dry		make.dry	səɣrɐm	səɣrɐm						
	to think (reflect)		think	səsiʔ	səsiʔ						
	to be alive		alive	səsoʔ	səsoʔ						
	morning		morning	siz	siz						
	the morning		morning	siz	siz						
	to know		know	siz <	siz <						
	to know (something)		know	siz <	siz <						
	the star		star	skɐrme	skɐrme			skar.ma			
	the smoke		smoke	tɐ́kʰu	tɐ́kʰu						
	the moon		moon	slɐ́ŋɐ	slɐ́ŋɐ						
	the fire		fire	smi	smi						
	good		be.good	sneʔ	sneʔ						
	the heart		heart	sni	sni						
	the wolf		wolf	spjaŋku	spjaŋku			spʲaŋ.ki			
	the otter		otter.skin	srɐm	srɐm						
	to push		push	stʰɔ <	stʰɔ <						
	the meat		meat.chunk	ʃɐlpoʔ	ʃɐlpoʔ						
	the bone		bone	ʃɐ́ru	ʃɐ́ru						
	above		above; north.of	ʃə́ta	ʃə́ta						
	the stone (a piece of)		stone	ʃkótse	ʃkótse						
	the nose		nose	ʃne	ʃne						
	who		who	ʃo	ʃo						
	before		before	ʃóxte	ʃóxte						
	dry		be.dry	ʃɔ́ʃəm	ʃɔ́ʃəm						
	the snow		snow	tɐjpe	tɐjpe						
	the ice		ice	tɐjpəmʔ	tɐjpəmʔ						
	the sun		sun	tɐ́ŋɐ	tɐ́ŋɐ						
	the needle (for sewing)		needle	tɐ́qɐv	tɐ́qɐv						
	the meat		cooked.meat	tɐrovʔ	tɐrovʔ						
	the fat (grease)		grease	tɐrtsɛʔ	tɐrtsɛʔ						
	the blood		blood	tɐsɐ	tɐsɐ						
	the barley (tibetan or highland)		barley	tɐʃe	tɐʃe						
	to fear (be afraid)		fear	tə-verʔ	tə-verʔ						
	the water		water	təcíʔ	təcíʔ						
	middle		middle	təlezʔ	təlezʔ						
	female		woman	tə́mɛ	tə́mɛ						
	the woman		woman	tə́mɛ	tə́mɛ						
	morning		early.morning	təmtʃuɣʔzɐrnaʔ	təmtʃuɣʔzɐrnaʔ						
	the morning		early.morning	təmtʃuɣʔzɐrnaʔ	təmtʃuɣʔzɐrnaʔ						
	the rain		rain	tə́mu	tə́mu						
	the rope		rope	təⁿbre	təⁿbre						
	the sickle		sickle	təncʰwe	təncʰwe						
	the hail		hailstone	tərmu	tərmu						
	all		all	tʰɐmtʃet	tʰɐmtʃet			thams.tɕad			
	to drink		drink	tʰi <	tʰi <						
	the lightning		thunderbolt-thunder-lightning	tʰɔʔ-ⁿbrəɣʔ-lɔʔ	tʰɔʔ-ⁿbrəɣʔ-lɔʔ			tʰog-ⁿbrug.glog			
	the thunder		thunderbolt-thunder-lightning	tʰɔʔ-ⁿbrəɣʔ-lɔʔ	tʰɔʔ-ⁿbrəɣʔ-lɔʔ			tʰog-ⁿbrug.glog			
	to say		say	tsə	tsə						
	the stick		stick	tʃər	tʃər						
	the girl		girl	tʃʰɐ́mɐj	tʃʰɐ́mɐj						
	what		what	tʃʰə	tʃʰə			tɕʰi			
	how		how	tʃʰə́tekɐso=	tʃʰə́tekɐso=						
	how		how	tʃʰətekɐsoʔ	tʃʰətekɐsoʔ						
	the road		road	tʃoⁿbɐjʔ	tʃoⁿbɐjʔ						
	to burn [transitive]		burn	tʃov	tʃov						
	to fear (be afraid)		fear	vɐr	vɐr						
	to cry (weep)		weep	vɐvo	vɐvo						
	good		be.good	vde	vde			bde			
	full		be.full	vɟaʔ	vɟaʔ			brgʲags			
	the mouse or rat		mouse	vɟu	vɟu						
	to burn [transitive]		burn	vluʔ	vluʔ						
	to learn		learn	vzjaŋ	vzjaŋ			sbʲaŋs			
	to sit		sit (stem 2)	vʒəɣ	vʒəɣ			bʑugs			
	to blow (of wind)		blow	wɐ́mot	wɐ́mot						
	cold (of temperature)		be.cold	wɐⁿdʒiʔ	wɐⁿdʒiʔ						
	correct (right)		be.right	wɐⁿgiʔ	wɐⁿgiʔ						
	to throw		throw	wɐret	wɐret						
	red		be.red	wɐrneʔ	wɐrneʔ						
	to come		come	wi	wi						
	warm (hot)		be.warm	xsêt	xsêt						
	warm (hot)		warm	xset kɐ́-xset	xset kɐ́-xset						
	to hit		hit	xsəɣ	xsəɣ						
	the belly		belly	xtoʔ	xtoʔ						
	small		be.small	xtʃi	xtʃi						
	big		be.big	xtεʔ	xtεʔ						
	other		other	zde	zde			zla			
	painful		be.painful (stem 2)	zdəɣ	zdəɣ			sdug			
	the tree		tree	zdóŋbo	zdóŋbo						
	to turn (around)		turn.around (stem 2)	zɣi	zɣi						
	the cloud		cloud	zⁿdəmʔ	zⁿdəmʔ						
	the heart		heart	ʒəvʔ	ʒəvʔ						
	the knee		knee	χpəmʔ	χpəmʔ						
	new		new	χsɐ́rpe	χsɐ́rpe			gsar.pa			
	three		three	χsəm	χsəm						
	to say		say (stem 2)	χsoŋʔ	χsoŋʔ			gsuŋ			
	the thigh		thigh	χʃí	χʃí						
	knife		folding.knife	χtevtʂi	χtevtʂi			lteb.gri			
	the knife		folding.knife	χtevtʂi	χtevtʂi			lteb.gri			
	to rub		rub	χtsov	χtsov						
	to wash		wash (stem 3)	χtʃɛ	χtʃɛ						
	to buy		buy	χtu	χtu						
	the work										
	horizontal										
	to sew										
	far										
	the day (opposed to night)										
	the armpit										
	right										
	dirty										
	early										
	eight										
	four										
	green										
	hard										
	left										
	light (of weight)										
	many										
	narrow										
	old (of person)										
	rotten (of fruits)										
	salty										
	seven										
	short										
	soft										
	stone (of fruit)										
	ten										
	that										
	the ant										
	the ashes										
	the bark										
	the body hair (hair or fur)										
	the branch										
	the child (descendant)										
	the dew										
	the father										
	the fog										
	the frog										
	the frost										
	the fruit										
	the hoof										
	the intestines										
	the leg										
	the lung										
	the mosquito										
	the mud										
	the nit										
	the person										
	the rainbow										
	the rice plant										
	the salt										
	the son										
	the sparrow										
	the spider										
	the tongue										
	the tooth (front)										
	they [third person plural]										
	thin										
	thin (object)										
	to bite										
	to breathe										
	to choose										
	to climb										
	to cook										
	to count										
	to float										
	to flow										
	to knead										
	to lie down										
	to lie, rest										
	to marry (a man marries a woman)										
	to reside (live)										
	to scratch										
	to sing										
	to smell (perceive odor) [transitive]										
	to spit										
	to split										
	to squeeze										
	to stab										
	to swell										
	to swim										
	to tie (together)										
	to wipe										
	to yawn										
	wet		wet (stem 2, reduplicated)	nɐcʰicʰiʔ							
	yesterday										
	you [second person plural]										
	young										
