ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGIDS
102	Bantawa	I [first person singular]	ɨŋka	ɨŋka	ɨ ŋ k a		1
268	Stau	I [first person singular]	ŋa	ŋa	ŋ a		2
520	Japhug	I [first person singular]	aʑo	aʑo	a + ʑ o		8561 8411
859	Tangut	I [first person singular]	mjo	mjo	m j o		4
860	Tangut	I [first person singular]	ŋa²	ŋa²	ŋ ²/a		2
1174	WobziKhroskyabs	I [first person singular]	ŋô	ŋô	ŋ ô/o		2
1469	Zhaba	I [first person singular]	ŋa¹³	ŋa¹³	ŋ ¹³/a		2
1726	MbarkhamsSitu	I [first person singular]	ŋɑ	ŋɑ	ŋ ɑ		2
1970	KangdingMinyag	I [first person singular]	ŋə⁵³	ŋə⁵³	ŋ ⁵³/ə		2
2333	PengbuxiMinyag	I [first person singular]	1ŋə	1ŋə	ŋ ¹/ə		2
2530	OldBurmese	I [first person singular]	ṅā	ṅa	ŋ ā/a		2
2769	XinlongQueyu	I [first person singular]	ŋa¹³	ŋa¹³	ŋ ¹³/a		2
2770	XinlongQueyu	I [first person singular]	ŋɯ¹³	ŋɯ¹³	ŋ ¹³/ɯ		2
3193	PubarongQueyu	I [first person singular]	ŋə̌	ŋə̌	ŋ ə̌/ə		2
3291	SiyuewuKhroskyabs	I [first person singular]	ŋæ̂	ŋæ̂	ŋ æ̂/æ		2
3643	BragbarSitu	I [first person singular]	ŋā	ŋā	ŋ ā/a		2
4035	Geshiza	I [first person singular]	ŋa	ŋa	ŋ a		2
4247	GuanyinqiaoKhroskyabs	I [first person singular]	ŋa⁵³	ŋa⁵³	ŋ ⁵³/a		2
4692	NjorogsKhroskyabs	I [first person singular]	ŋə⁵⁵	ŋə⁵⁵	ŋ ⁵⁵/ə		2
4693	NjorogsKhroskyabs	I [first person singular]	ŋo⁵⁵	ŋo⁵⁵	ŋ ⁵⁵/o		2
4867	Tshobdun	I [first person singular]	ɐɟiʔ	ɐɟiʔ	ɐ + ɟ i ʔ		8561 8411
5280	NgyaltsuZbu	I [first person singular]	ŋɐ́ʔ	ŋɐ́ʔ	ŋ ɐ́/ɐ ʔ		2
5573	Zlarong	I [first person singular]	ŋo55	ŋo55	ŋ ⁵⁵/o		2
5727	KyomkyoSitu	I [first person singular]	ŋa	ŋa	ŋ a		2
5998	MazurStau	I [first person singular]	ŋæ	ŋæ	ŋ æ		2
33	Bantawa	above	cʰoN	cʰoN	cʰ o ŋ		26
269	Stau	above	rə nkhvɛ	rə nkhvɛ	r ə + n kʰ v ɛ		28 29
521	Japhug	above	ɯ-taʁ	ɯ-taʁ	ɯ + t a ʁ		45 33
861	Tangut	above	tɕhjaa	tɕhjaa	tɕʰ j aː		30
1175	WobziKhroskyabs	above	tʰɑ	tʰɑ	tʰ ɑ		8352
1470	Zhaba	above	ʌ¹³tʂhɿ³³	ʌ¹³tʂhɿ³³	¹³/ʌ + ʈʂʰ ³³/ɿ		45 7899
1727	MbarkhamsSitu	above	wu prɐi	wu prɐi	w u + p r ɐ i		45 36
1971	KangdingMinyag	above	jɐ̃³³tɕhø⁵³	jɐ̃³³tɕhø⁵³	j ³³/ɐ̃ + tɕʰ ⁵³/ø		38 30
1972	KangdingMinyag	above	tə³³to²⁴	tə³³to²⁴	t ³³/ə + t ²⁴/o		7922 33
2342	PengbuxiMinyag	above	1pu	1pu	p ¹/u		37
2531	OldBurmese	above	ʔa◦thak	ʔa◦thak	ʔ a + tʰ a k		41 33
