ID	ID_IN_SOURCE	DOCULECT	DOCULECT_NAME	CONCEPT	CONCEPTICON_ID	VALUE	FORM	TOKENS	COGID	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGIDS
103		Bantawa	Kiranti_Bantawa	I [first person singular]	443_ifirstpersonsingular	ɨŋka	ɨŋka	ɨ ŋ k a	0	7 4 1 7	XMBZ	INKA	1	1.I.V 1.N.c 1.K.C 1.A.V	1.5 1.1 1.75 0.8	ɨŋka	0	1
271	19223	Daofu	rGyalrong_Daofu	I [first person singular]	443_ifirstpersonsingular	ŋa	ŋa	ŋ a	327	4 7	AX	NA	3	3.N.C 3.A.V	2.0 1.5	ŋa	0	2
541	5083	Japhug	rGyalrong_Japhug	I [first person singular]	443_ifirstpersonsingular	aʑo	aʑo	a ʑ o	327	7 3 7	XBZ	ASU	6	6.A.V 6.S.C 6.U.V	1.5 1.75 0.8	aʑo	0	3
914	38041	Tangut	Tangut	I [first person singular]	443_ifirstpersonsingular	mjo	mjo	m j o	105	4 6 7	ACX	MJU	17	17.M.C 17.J.C 17.U.V	2.0 1.5 1.5	mjo	0	4
915	5087	Tangut	Tangut	I [first person singular]	443_ifirstpersonsingular	ŋa²	ŋa²	ŋ ²/a	327	4 7	AX	NA	17	17.N.C 17.A.V	2.0 1.5	ŋ²/a	0	2
1244	31651	WobziKhroskyabs	Khroskyabs_Wobzi	I [first person singular]	443_ifirstpersonsingular	ŋô	ŋô	ŋ ô/o	327	4 7	AX	NU	19	19.N.C 19.U.V	2.0 1.5	ŋô/o	0	2
1539	21719	Zhaba	Qiangic_Zhaba	I [first person singular]	443_ifirstpersonsingular	ŋa¹³	ŋa¹³	ŋ ¹³/a	327	4 7	AX	NA	20	20.N.C 20.A.V	2.0 1.5	ŋ¹³/a	0	2
1807	17972	MaerkangrGyalrong	rGyalrong_Maerkang	I [first person singular]	443_ifirstpersonsingular	ŋɑ	ŋɑ	ŋ ɑ	327	4 7	AX	NA	8	8.N.C 8.A.V	2.0 1.5	ŋɑ	0	2
2052	22957	MuyaKangding	Muya-kangding	I [first person singular]	443_ifirstpersonsingular	ŋə⁵³	ŋə⁵³	ŋ ⁵³/ə	0	4 7	AX	NE	10	10.N.C 10.E.V	2.0 1.5	ŋ⁵³/ə	0	2
2423		MenyaGao	Menya-Gao	I [first person singular]	443_ifirstpersonsingular	1ŋə	1ŋə	¹ ŋ ə	0	8 4 7	TBX	6NE	9	9.6.T 9.N.C 9.E.V	1.0 1.3 3.0	¹ŋə	0	2
2624	31082	OldBurmese	OldBurmese	I [first person singular]	443_ifirstpersonsingular	ṅā	ṅā	ŋ ā/a	327	4 7	AX	NA	13	13.N.C 13.A.V	2.0 1.5	ŋā/a	0	2
2863	20553	QueyuXinlong	Queyu_Xinlong	I [first person singular]	443_ifirstpersonsingular	ŋa¹³	ŋa¹³	ŋ ¹³/a	0	4 7	AX	NA	15	15.N.C 15.A.V	2.0 1.5	ŋ¹³/a	0	2
2864	16111	QueyuXinlong	Queyu_Xinlong	I [first person singular]	443_ifirstpersonsingular	ŋɯ¹³	ŋɯ¹³	ŋ ¹³/ɯ	0	4 7	AX	NI	15	15.N.C 15.I.V	2.0 1.5	ŋ¹³/ɯ	0	2
3290		QueyuPubarong	Queyu_pubarong	I [first person singular]	443_ifirstpersonsingular	ŋə̌	ŋə̌	ŋ ə̌/ə	0	4 7	AX	NE	14	14.N.C 14.E.V	2.0 1.5	ŋə̌/ə	0	2
3388	38840	SiyuewuKhroskyabs	Siyuewu_Khroskyabs	I [first person singular]	443_ifirstpersonsingular	ŋæ̂	ŋæ̂	ŋ æ̂/æ	0	4 7	AX	NE	16	16.N.C 16.E.V	2.0 1.5	ŋæ̂/æ	0	2
3744		BragbarSitu	Bragbar Situ	I [first person singular]	443_ifirstpersonsingular	ŋā	ŋā	ŋ ā/a	0	4 7	AX	NA	2	2.N.C 2.A.V	2.0 1.5	ŋā/a	0	2
4137		Geshiza	Geshiza	I [first person singular]	443_ifirstpersonsingular	ŋa	ŋa	ŋ a	0	4 7	AX	NA	4	4.N.C 4.A.V	2.0 1.5	ŋa	0	2
4359		GuanyinqiaoKhroskyabs	Guanyinqiao_Khroskyabs	I [first person singular]	443_ifirstpersonsingular	ŋa⁵³	ŋa⁵³	ŋ ⁵³/a	0	4 7	AX	NA	5	5.N.C 5.A.V	2.0 1.5	ŋ⁵³/a	0	2
4821		NjorogsKhroskyabs	Njorogs_Khroskyabs	I [first person singular]	443_ifirstpersonsingular	ŋə⁵⁵	ŋə⁵⁵	ŋ ⁵⁵/ə	0	4 7	AX	NE	12	12.N.C 12.E.V	2.0 1.5	ŋ⁵⁵/ə	0	2
4822		NjorogsKhroskyabs	Njorogs_Khroskyabs	I [first person singular]	443_ifirstpersonsingular	ŋo⁵⁵	ŋo⁵⁵	ŋ ⁵⁵/o	0	4 7	AX	NU	12	12.N.C 12.U.V	2.0 1.5	ŋ⁵⁵/o	0	2
5003		Tshobdun	Tshobdun	I [first person singular]	443_ifirstpersonsingular	ɐɟiʔ	ɐɟiʔ	ɐ ɟ i ʔ	0	7 1 7 1	XBYN	ECIH	18	18.E.V 18.C.C 18.I.V 18.H.c	1.5 1.75 1.3 0.8	ɐɟiʔ	0	5
5429		NgyaltsuZbu	Ngyaltsu Zbu	I [first person singular]	443_ifirstpersonsingular	ŋɐ́ʔ	ŋɐ́ʔ	ŋ ɐ́/ɐ ʔ	0	4 7 1	AXN	NEH	11	11.N.C 11.E.V 11.H.c	2.0 1.5 0.8	ŋɐ́/ɐʔ	0	2
5726		Zlarong	Zlarong	I [first person singular]	443_ifirstpersonsingular	ŋo55	ŋo55	ŋ ⁵⁵/o	0	4 7	AX	NU	21	21.N.C 21.U.V	2.0 1.5	ŋ⁵⁵/o	0	2
5881		KyomkyoSitu	Kyomkyo_Situ	I [first person singular]	443_ifirstpersonsingular	ŋa	ŋa	ŋ a	0	4 7	AX	NA	7	7.N.C 7.A.V	2.0 1.5	ŋa	0	2
33		Bantawa	Kiranti_Bantawa	above	1_above	cʰoN	cʰoN	cʰ o ŋ	0	1 7 4	AXN	CUN	1	1.C.C 1.U.V 1.N.c	2.0 1.5 0.8	cʰoŋ	0	26
272	19109	Daofu	rGyalrong_Daofu	above	1_above	rə nkhvɛ	rə nkhvɛ	r ə + n kʰ v ɛ	1310	5 7 9 4 1 3 7	AX_ACCZ	RE_NKBE	3	3.R.C 3.E.V 3._._ 3.N.C 3.K.C 3.B.C 3.E.V	2.0 1.5 0.0 2.0 1.5 1.5 0.8	rə+nkʰvɛ	0	28 29
542	48	Japhug	rGyalrong_Japhug	above	1_above	ɯ-taʁ	ɯ-taʁ	ɯ + t a ʁ	49	7 9 1 7 5	X_AXN	I_TAR	6	6.I.V 6._._ 6.T.C 6.A.V 6.R.c	1.5 0.0 2.0 1.5 0.8	ɯ+taʁ	0	32 33
916	38141	Tangut	Tangut	above	1_above	tɕhjaa	tɕhjaa	tɕʰ j aː	10178	2 6 7	ACX	CJA	17	17.C.C 17.J.C 17.A.V	2.0 1.5 1.5	tɕʰjaː	0	30
